"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.200548463,      -15.67285373,      -15.98136308,      -3.645887346,      -10.55724385
          0,           0,           1,      -4.636667739,       -4.47470923,      -4.299289685,       -4.05984728,      -10.50598082
          0,           0,           2,      -4.604244199,      -4.474298535,      -4.677482916,      -4.017738643,       -10.5319418
          0,           0,           3,      -4.580904726,      -4.528888763,      -4.648571022,      -4.008161805,       -10.4157353
          0,           0,           4,      -4.495177148,      -4.518807982,      -4.568998447,      -3.933876243,      -10.33218032
          0,           0,           5,      -4.404199517,      -4.495397848,      -4.509880757,      -3.843514352,      -10.28861204
          0,           0,           6,       -4.34531931,      -4.471611291,      -4.487617344,      -3.782945878,      -10.27970538
          0,           0,           7,      -4.309737109,      -4.452069776,      -4.491449595,      -3.743745133,      -10.28823316
          0,           0,           8,      -4.289617564,       -4.43614881,      -4.505153623,      -3.718832264,      -10.29471784
          0,           0,           9,       -4.27980357,      -4.424364857,      -4.517899987,       -3.70481783,      -10.29063179
          0,           0,          10,      -4.275227129,      -4.415676087,      -4.527619694,       -3.69772914,      -10.27568813
          0,           0,          11,       -4.27215665,      -4.407281056,      -4.535867218,      -3.693534236,      -10.25329161
          0,           0,          12,      -4.268629941,      -4.397485176,      -4.543956646,      -3.689548708,       -10.2276544
          0,           0,          13,      -4.264092256,      -4.386168702,      -4.551961927,      -3.684777627,      -10.20209998
          0,           0,          14,      -4.259065993,      -4.374463168,      -4.559785645,      -3.679629038,      -10.17959015
          0,           0,          15,      -4.255196489,      -4.363601127,      -4.569503541,       -3.67572245,      -10.16054661
          0,           0,          16,      -4.252909653,      -4.353455887,      -4.584208945,      -3.673508975,      -10.14556076
          0,           0,          17,      -4.254530358,      -4.342334503,      -4.605088553,      -3.674981109,      -10.13798673
          0,           0,          18,      -4.262831251,      -4.337004581,      -4.629306573,      -3.682733875,       -10.1367123
          0,           0,          19,      -4.273761794,       -4.34065731,      -4.655838761,      -3.693706243,      -10.13854238
          0,           0,          20,      -4.282955561,      -4.342238728,      -4.684526103,      -3.703061986,      -10.14355996
          0,           0,          21,       -4.29324451,      -4.340281733,      -4.710587896,      -3.713073392,      -10.15088697
          0,           0,          22,      -4.304246204,      -4.339189895,      -4.731157586,      -3.723595858,      -10.16023076
          0,           0,          23,      -4.316070182,      -4.340724245,      -4.749197038,      -3.734595928,       -10.1716501
          0,           0,          24,      -4.332611056,      -4.347961471,      -4.762123162,      -3.750149263,      -10.18412158
          0,           0,          25,      -4.347641605,      -4.360333609,      -4.768640697,      -3.764740653,      -10.19683165
          0,           0,          26,      -4.359099315,      -4.374671538,      -4.771993679,      -3.776194006,      -10.20803536
          0,           0,          27,      -4.367637146,      -4.388978565,      -4.770847496,      -3.784922788,      -10.21663842
          0,           0,          28,      -4.372746661,      -4.403224053,      -4.770485603,       -3.79033353,      -10.22138266
          0,           0,          29,      -4.375479979,      -4.417092092,      -4.771930862,      -3.793392512,      -10.21932024
          0,           0,          30,      -4.377880344,       -4.42918162,      -4.777159894,       -3.79601367,       -10.2067826
          0,           0,          31,      -4.382114402,      -4.439766403,      -4.783199818,      -3.800044332,      -10.17925218
          0,           0,          32,      -4.389375154,      -4.452438375,      -4.792302438,      -3.806798822,      -10.13471827
          0,           0,          33,      -4.398590824,      -4.465968032,      -4.804404667,        -3.8151721,      -10.07429351
          0,           0,          34,      -4.409928432,      -4.478953836,      -4.818301883,      -3.825771074,      -10.00168077
          0,           0,          35,       -4.42255075,      -4.493640582,      -4.833839439,      -3.837765819,      -9.921629429
          0,           0,          36,      -4.434730147,      -4.509025082,      -4.848676518,      -3.849742877,      -9.840127179
          0,           0,          37,      -4.444520603,      -4.523290888,      -4.860325508,      -3.859731441,      -9.760091034
          0,           0,          38,      -4.451405088,      -4.538324885,       -4.86786443,      -3.866867011,      -9.685745037
          0,           0,          39,      -4.454661633,      -4.555550657,      -4.871462937,      -3.870741103,      -9.617729687
          0,           0,          40,      -4.453318253,      -4.570604613,      -4.870820056,      -3.870411872,      -9.558067301
          0,           0,          41,      -4.448722562,      -4.586499887,      -4.866895585,      -3.866559065,      -9.508117051
          0,           0,          42,      -4.441580087,      -4.608774969,      -4.861954164,       -3.86007027,      -9.465702696
          0,           0,          43,      -4.432805265,      -4.632346116,      -4.857534156,      -3.852018832,      -9.430352047
          0,           0,          44,      -4.422596592,      -4.655823416,      -4.854643805,      -3.842384528,      -9.402244942
          0,           0,          45,      -4.413438268,      -4.679257755,      -4.853649002,      -3.833419292,      -9.380319201
          0,           0,          46,      -4.405388701,      -4.698521203,      -4.853878425,      -3.825511601,      -9.362826648
          0,           0,          47,      -4.400403208,      -4.713378503,      -4.855233615,      -3.820272174,      -9.349430022
          0,           0,          48,      -4.398664001,      -4.728299088,      -4.856969382,      -3.818170085,      -9.339592181
          0,           0,          49,      -4.399824203,      -4.745453431,      -4.860436622,      -3.818901813,      -9.331497322
          0,           0,          50,      -4.403640296,      -4.763998438,      -4.864508833,      -3.822377925,      -9.323542701
          0,           0,          51,       -4.40842168,      -4.778979141,      -4.867411426,      -3.827055393,      -9.314576033
