"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.200548463,      -15.72353262,      -15.99370915,      -3.556479329,      -10.56477867
          0,           0,           1,      -4.661109271,      -4.438571527,      -4.301374863,      -3.994285536,      -10.54653255
          0,           0,           2,      -4.632802806,      -4.435808199,      -4.625577392,      -3.958238383,      -10.57735155
          0,           0,           3,      -4.601717664,      -4.475118301,      -4.576564205,      -3.941923363,      -10.47910288
          0,           0,           4,      -4.506892315,      -4.467089978,        -4.4876131,      -3.853081297,      -10.43413972
          0,           0,           5,      -4.436556011,      -4.447377899,      -4.451111695,      -3.780714854,      -10.42407904
          0,           0,           6,      -4.398464557,       -4.43106597,      -4.458569519,      -3.738171248,      -10.43200743
          0,           0,           7,      -4.380432311,      -4.421146266,      -4.482139826,      -3.714661123,      -10.44164171
          0,           0,           8,      -4.373039555,      -4.415144813,      -4.497351904,      -3.702586341,      -10.44405483
          0,           0,           9,      -4.370230666,      -4.411356549,      -4.499071245,      -3.697017341,      -10.43402018
          0,           0,          10,      -4.368623514,      -4.406874921,      -4.494207804,      -3.694072698,      -10.41258601
          0,           0,          11,      -4.367132716,      -4.398706641,       -4.48811393,      -3.691581497,      -10.38395187
          0,           0,          12,      -4.365350099,      -4.385936024,      -4.482369336,      -3.688672943,      -10.35357051
          0,           0,          13,      -4.363148994,      -4.370431225,      -4.477418082,      -3.685404915,      -10.32405492
          0,           0,          14,      -4.361270914,      -4.355730143,       -4.47443169,      -3.682917406,      -10.29764054
          0,           0,          15,      -4.360939125,      -4.344671823,      -4.474799578,       -3.68268253,      -10.27564462
          0,           0,          16,      -4.363328342,      -4.338043751,      -4.479280691,      -3.685735889,      -10.25781051
          0,           0,          17,      -4.369244858,      -4.335217925,      -4.487303116,       -3.69234196,      -10.24547173
          0,           0,          18,      -4.379105088,      -4.335405794,      -4.497619296,      -3.702405852,      -10.23952314
          0,           0,          19,      -4.393410749,      -4.338319295,      -4.510495801,       -3.71622798,      -10.24018042
          0,           0,          20,      -4.412244939,      -4.343800365,      -4.527269977,      -3.734113022,       -10.2459363
          0,           0,          21,      -4.434820432,      -4.351709211,      -4.549202649,      -3.755643647,      -10.25638146
          0,           0,          22,      -4.458998257,      -4.361894687,      -4.576299562,      -3.779023583,      -10.26983047
          0,           0,          23,      -4.481664031,      -4.373411513,      -4.606517466,      -3.801260061,      -10.28536113
          0,           0,          24,      -4.498197083,      -4.384389001,      -4.636183805,       -3.81764904,      -10.30206392
          0,           0,          25,      -4.506843118,       -4.39303579,      -4.661160593,      -3.825848634,      -10.31855825
          0,           0,          26,      -4.509423702,      -4.398992858,      -4.679135334,      -3.827222331,      -10.33343966
          0,           0,          27,      -4.508754259,      -4.403463773,      -4.690878568,       -3.82468834,      -10.34402836
          0,           0,          28,      -4.507064907,      -4.407783832,      -4.698896928,      -3.820975038,      -10.34686034
          0,           0,          29,      -4.506845419,       -4.41250767,      -4.705701894,       -3.81891024,      -10.33867069
          0,           0,          30,      -4.509419627,      -4.417814866,      -4.712299588,      -3.819968786,      -10.31614739
          0,           0,          31,      -4.514161225,      -4.423568562,      -4.717694449,      -3.823691381,      -10.27745406
          0,           0,          32,      -4.519425357,      -4.429185136,      -4.719766066,      -3.828447299,      -10.22277623
          0,           0,          33,      -4.524379355,      -4.434014467,      -4.716642945,      -3.833126788,      -10.15486637
          0,           0,          34,      -4.528098842,       -4.43823791,      -4.708378421,      -3.836619501,      -10.07559046
          0,           0,          35,      -4.529594437,      -4.441851908,      -4.697232831,      -3.837886756,      -9.986988183
          0,           0,          36,      -4.529177726,      -4.445025594,      -4.686744136,      -3.837037496,      -9.893180398
          0,           0,          37,      -4.527909059,      -4.448231947,      -4.680531852,      -3.835143592,      -9.797933111
          0,           0,          38,      -4.527247948,      -4.452016938,      -4.681333705,      -3.833736128,       -9.70439032
          0,           0,          39,      -4.528523327,      -4.457120201,      -4.690750954,       -3.83427076,      -9.614705008
          0,           0,          40,      -4.532781499,      -4.464456627,      -4.709367914,      -3.837943372,      -9.529762854
          0,           0,          41,      -4.540819782,        -4.4749644,      -4.736595133,      -3.845725166,      -9.451203941
          0,           0,          42,      -4.553233016,      -4.489454146,      -4.770130455,      -3.858342127,      -9.379592848
          0,           0,          43,      -4.568548222,      -4.508095559,      -4.804954693,      -3.874769845,      -9.316190567
          0,           0,          44,       -4.58385953,      -4.530589841,      -4.834327853,      -3.892436484,      -9.260543078
          0,           0,          45,      -4.597196715,       -4.55675269,       -4.84898908,      -3.909258704,      -9.211487725
          0,           0,          46,      -4.604842111,      -4.585176082,      -4.843872186,      -3.921373637,      -9.171832981
          0,           0,          47,      -4.607547916,      -4.614451536,       -4.82457734,      -3.928249361,      -9.137326609
