"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.197324414,      -15.66964149,      -15.97149036,      -3.476649015,      -10.57085244
          0,           0,           1,      -4.680887354,      -4.403488905,      -4.296647109,      -3.936979829,      -10.57819815
          0,           0,           2,      -4.655603902,      -4.398978152,      -4.572483466,      -3.905486194,      -10.61586575
          0,           0,           3,       -4.60956239,      -4.419567075,      -4.500112178,      -3.872691211,      -10.55037521
          0,           0,           4,      -4.525147044,      -4.410849192,      -4.422586482,      -3.788863922,      -10.53010354
          0,           0,           5,      -4.475842554,      -4.398202131,       -4.41029832,      -3.735657941,      -10.52521785
          0,           0,           6,      -4.451987401,      -4.391175622,      -4.430846062,      -3.706102919,      -10.52516124
          0,           0,           7,      -4.440057468,      -4.387202157,      -4.446371732,      -3.688979269,      -10.52785388
          0,           0,           8,      -4.432873426,      -4.382558004,      -4.440992697,      -3.678327995,      -10.52534433
          0,           0,           9,      -4.426783753,      -4.375220348,      -4.423978263,      -3.670236632,      -10.51030401
          0,           0,          10,      -4.419632367,      -4.362768823,      -4.405332802,      -3.661450808,      -10.48449791
          0,           0,          11,      -4.410627214,       -4.34452783,      -4.388307456,      -3.650572748,      -10.45436222
          0,           0,          12,      -4.401649677,      -4.322847215,      -4.373929573,      -3.639678316,       -10.4233405
          0,           0,          13,      -4.396785963,      -4.301602793,      -4.363565843,      -3.633260896,      -10.39220057
          0,           0,          14,      -4.399476563,      -4.283661321,      -4.358552298,      -3.634919587,      -10.36162693
          0,           0,          15,      -4.410503681,      -4.269796434,       -4.35938512,      -3.645268233,      -10.33226677
          0,           0,          16,      -4.427739602,      -4.259576916,      -4.365620826,      -3.661854783,      -10.30574143
          0,           0,          17,      -4.447136766,      -4.252647826,      -4.376264259,      -3.680437588,      -10.28413887
          0,           0,          18,      -4.464585266,      -4.249136594,       -4.39051496,         -3.697045,      -10.26895228
          0,           0,          19,      -4.477958917,      -4.249138982,      -4.408081875,      -3.709809847,      -10.26074577
          0,           0,          20,      -4.487994777,        -4.2522357,       -4.42889519,      -3.719456074,      -10.25919721
          0,           0,          21,      -4.497473003,       -4.25754423,      -4.452543886,      -3.728440612,      -10.26436472
          0,           0,          22,      -4.509226378,      -4.264097793,      -4.477887451,      -3.739315883,      -10.27577903
          0,           0,          23,      -4.524231768,      -4.271097518,      -4.503229103,      -3.753060588,      -10.29321796
          0,           0,          24,      -4.540870581,      -4.277795221,       -4.52627327,      -3.768306421,      -10.31591538
          0,           0,          25,      -4.555317691,      -4.283337096,      -4.544541359,      -3.781446364,      -10.34315603
          0,           0,          26,      -4.563367642,      -4.286807785,      -4.556439506,      -3.788130656,      -10.37410604
          0,           0,          27,      -4.563460775,      -4.287621889,      -4.562577623,       -3.78626982,      -10.40680406
          0,           0,          28,        -4.5584102,      -4.285956148,      -4.565983767,      -3.778229897,      -10.43720494
          0,           0,          29,       -4.55379719,      -4.282834481,      -4.570834351,      -3.769592398,      -10.45917638
          0,           0,          30,      -4.554861416,      -4.279756013,      -4.580629671,      -3.765956753,      -10.46612726
          0,           0,          31,      -4.564558414,      -4.278189231,      -4.597046883,       -3.77079001,      -10.45313397
          0,           0,          32,      -4.583163818,      -4.279236996,      -4.619270517,      -3.784996432,      -10.42140063
          0,           0,          33,      -4.608235582,      -4.283576752,       -4.64373233,      -3.807021603,      -10.37545808
          0,           0,          34,      -4.635161579,      -4.291564982,      -4.664880859,      -3.833289294,      -10.32051009
          0,           0,          35,      -4.658418237,      -4.303370994,      -4.678026018,      -3.858881823,      -10.26053537
          0,           0,          36,      -4.674531087,      -4.319065846,      -4.683077477,        -3.8795163,      -10.19761107
          0,           0,          37,      -4.684279272,      -4.338644543,      -4.685071737,      -3.893866277,      -10.13290514
          0,           0,          38,      -4.691916517,      -4.361981333,       -4.69087515,      -3.904242402,       -10.0671439
          0,           0,          39,      -4.702320862,      -4.388737686,      -4.705981399,      -3.914811696,      -10.00177563
          0,           0,          40,      -4.718993452,      -4.418271493,      -4.733332871,      -3.929412441,      -9.937697896
          0,           0,          41,      -4.743207253,      -4.449577608,      -4.773062777,      -3.950194106,       -9.87625756
          0,           0,          42,      -4.774581901,      -4.481435783,       -4.82205342,      -3.977810461,       -9.81848736
          0,           0,          43,      -4.811231113,      -4.512773024,      -4.873017477,      -4.011581045,      -9.765298223
          0,           0,          44,      -4.850110947,      -4.543040813,      -4.915230321,      -4.049732739,      -9.717283887
          0,           0,          45,       -4.88779776,      -4.572408123,      -4.940613702,      -4.089685817,      -9.674803724
          0,           0,          46,      -4.921650621,      -4.601561888,      -4.951546663,      -4.128459669,      -9.637893665
          0,           0,          47,       -4.95080898,      -4.631232675,      -4.958772156,      -4.163457362,      -9.605768068
          0,           0,          48,      -4.976299731,      -4.661752612,      -4.972609424,      -4.193401093,      -9.577395247
          0,           0,          49,      -5.000337378,      -4.692846308,      -4.998810454,      -4.218869661,      -9.551882775
          0,           0,          50,      -5.025396063,      -4.723726516,      -5.038893232,      -4.242052284,      -9.528816421
          0,           0,          51,      -5.053472925,      -4.753461749,      -5.090888503,      -4.265825468,      -9.508691035
          0,           0,          52,      -5.085672847,      -4.781470497,      -5.149252851,      -4.292739605,      -9.491980727
          0,           0,          53,      -5.122048474,      -4.807882779,       -5.20515352,      -4.324362373,      -9.479269585
          0,           0,          54,      -5.161648851,      -4.833536298,      -5.249890594,      -4.361027713,       -9.47093535
          0,           0,          55,      -5.202815162,      -4.859603749,      -5.281393909,       -4.40181371,      -9.466758156
          0,           0,          56,      -5.243659931,      -4.887068868,       -5.30618932,      -4.444649899,      -9.466034269
          0,           0,          57,       -5.28251369,        -4.9163779,      -5.333413553,      -4.486702537,      -9.467769079
          0,           0,          58,      -5.318288536,      -4.947398217,      -5.368735486,      -4.525228537,      -9.470943053
          0,           0,          59,      -5.350742606,      -4.979600493,      -5.412381611,       -4.55872531,      -9.474443626
          0,           0,          60,      -5.380367883,      -5.012338652,      -5.458889813,      -4.587580438,      -9.477677189
          0,           0,          61,      -5.407998408,      -5.045117879,      -5.498364782,      -4.613646801,      -9.480397648
          0,           0,          62,      -5.434191277,      -5.077707202,      -5.521987879,      -4.638902314,      -9.482595929
          0,           0,          63,      -5.459027937,      -5.110066627,      -5.530001412,      -4.664385693,      -9.484290651
          0,           0,          64,      -5.482372339,      -5.142116713,      -5.531669031,      -4.689939768,      -9.485785782
          0,           0,          65,      -5.503996767,      -5.173526973,      -5.537368516,      -4.714470273,       -9.48747849
          0,           0,          66,      -5.523528675,      -5.203671951,      -5.553457386,      -4.736522471,      -9.489714056
          0,           0,          67,      -5.540497224,       -5.23180534,      -5.581877629,      -4.755026248,      -9.492773835
          0,           0,          68,      -5.553828108,      -5.257427884,      -5.620866484,      -4.769295646,      -9.496972403
          0,           0,          69,      -5.562027538,       -5.28059518,      -5.665123428,      -4.779062061,      -9.502497347
          0,           0,          70,      -5.563544099,      -5.302157271,      -5.705545179,      -4.784112583,       -9.50934192
          0,           0,          71,      -5.557990235,      -5.323298502,      -5.731775786,      -4.784491275,      -9.517445526
          0,           0,          72,      -5.546097275,      -5.345412917,      -5.739274977,      -4.780286945,      -9.526582444
          0,           0,          73,      -5.529910177,      -5.369281524,      -5.731414891,      -4.772192371,      -9.536495538
          0,           0,          74,      -5.511616597,      -5.395603405,      -5.715922518,      -4.761172318,      -9.546867281
          0,           0,          75,      -5.492357275,      -5.423116768,      -5.698763067,      -4.747696991,       -9.55724681
          0,           0,          76,      -5.471977271,      -5.449377803,      -5.682919107,      -4.731417898,      -9.567402137
          0,           0,          77,      -5.452495834,      -5.471611033,      -5.669650034,      -4.714302484,      -9.577210126
          0,           0,          78,      -5.433196818,       -5.48803544,      -5.660081153,      -4.696249911,      -9.586400272
          0,           0,          79,      -5.412595569,      -5.500007644,      -5.654282997,       -4.67649629,      -9.594844057
          0,           0,          80,      -5.390951913,       -5.51007505,      -5.648960621,       -4.65569438,      -9.602657552
          0,           0,          81,       -5.37299057,      -5.519920592,      -5.641940679,      -4.638413876,      -9.610494595
          0,           0,          82,      -5.359964301,      -5.529557033,      -5.634366765,      -4.626002973,      -9.616586292
          0,           0,          83,       -5.35243423,      -5.538528328,      -5.624231135,       -4.61908198,      -9.623199038
          0,           0,          84,      -5.348022676,      -5.542988184,       -5.61073826,      -4.615200654,      -9.629754562
          0,           0,          85,      -5.340038036,      -5.540591632,      -5.597820182,      -4.607634485,      -9.636561488
          0,           0,          86,      -5.327471245,      -5.535564739,      -5.587182049,      -4.595211463,      -9.643856088
          0,           0,          87,        -5.3141257,       -5.53279451,      -5.577699871,      -4.581698895,      -9.651928835
          0,           0,          88,      -5.301936613,      -5.533786144,      -5.570376971,      -4.569378636,      -9.660742716
          0,           0,          89,      -5.295713947,      -5.538289677,      -5.561886355,      -4.563191997,      -9.670055679
          0,           0,          90,      -5.294145378,      -5.540289407,      -5.549434388,      -4.561830445,      -9.679607152
          0,           0,          91,       -5.29251866,       -5.53593114,      -5.535605666,      -4.560409636,      -9.689483489
          0,           0,          92,      -5.286194224,      -5.530340949,      -5.524957421,      -4.554343641,      -9.699984879
          0,           0,          93,      -5.278509243,      -5.529078063,      -5.517147753,      -4.546846013,      -9.710874583
          0,           0,          94,      -5.272812856,      -5.532625499,      -5.509710742,        -4.5413912,      -9.722347671
          0,           0,          95,       -5.27090859,      -5.535047049,      -5.498752729,        -4.5397766,       -9.73437344
          0,           0,          96,      -5.268494978,      -5.531055217,      -5.486924955,      -4.537584275,      -9.745840485
          0,           0,          97,      -5.260898672,      -5.524675978,      -5.478835551,      -4.530058129,      -9.757974149
          0,           0,          98,      -5.252360551,      -5.521911619,      -5.475351198,      -4.521300389,      -9.771287369
          0,           0,          99,      -5.245039484,      -5.524305407,      -5.476058352,      -4.513742365,      -9.785347462
          0,           0,         100,      -5.239910901,      -5.527082599,      -5.476248417,      -4.508430901,      -9.797762489
          0,           0,         101,      -5.234060841,      -5.524535434,      -5.473909042,      -4.502457875,      -9.810112219
          0,           0,         102,      -5.224033339,      -5.519412983,      -5.473080961,      -4.492463808,      -9.823832854
