"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.204747266,      -15.67818397,      -15.96912392,      -3.484071867,      -10.57144634
          0,           0,           1,      -4.684173561,      -4.403687305,      -4.299376008,      -3.940345248,      -10.58127812
          0,           0,           2,      -4.663588682,      -4.405852062,      -4.589100564,      -3.915053063,      -10.62452661
          0,           0,           3,      -4.623980976,      -4.440327141,        -4.5285701,      -3.891951084,       -10.5612103
          0,           0,           4,      -4.541368328,      -4.443735015,      -4.454486193,      -3.810205632,      -10.54332488
          0,           0,           5,      -4.494337502,      -4.439523354,       -4.44899045,      -3.758611901,      -10.54006206
          0,           0,           6,      -4.473047151,      -4.439824728,      -4.479480711,      -3.730782865,      -10.54303655
          0,           0,           7,      -4.463175224,       -4.44298692,      -4.502772885,       -3.71496401,      -10.55000206
          0,           0,           8,      -4.457410598,      -4.445132321,      -4.499670634,      -3.705331271,      -10.55204198
          0,           0,           9,      -4.452158823,      -4.443944274,      -4.483047021,       -3.69809129,      -10.54131234
          0,           0,          10,       -4.44493441,      -4.435917748,      -4.465358701,       -3.68945097,      -10.51975019
          0,           0,          11,      -4.434547324,      -4.419517562,      -4.449206972,      -3.677340976,       -10.4943903
          0,           0,          12,      -4.423034371,      -4.397665996,      -4.434667332,      -3.663920525,      -10.46928707
          0,           0,          13,      -4.415203836,      -4.375634646,      -4.422866078,      -3.654523624,      -10.44442913
          0,           0,          14,      -4.415053834,       -4.35711724,       -4.41525072,      -3.653402033,      -10.41969119
          0,           0,          15,      -4.423461589,      -4.342579838,      -4.412289159,      -3.661258353,      -10.39493561
          0,           0,          16,      -4.438161417,      -4.330726237,      -4.413432315,      -3.675414207,      -10.37121399
          0,           0,          17,      -4.455004802,      -4.320636898,      -4.417714072,      -3.691413969,      -10.35067609
          0,           0,          18,      -4.469952819,      -4.312534293,      -4.424590146,      -3.705288762,       -10.3349706
          0,           0,          19,       -4.48099817,      -4.307071604,      -4.434145958,      -3.715323143,      -10.32480078
          0,           0,          20,      -4.488828461,      -4.304497305,      -4.446643253,       -3.72233019,      -10.32034224
          0,           0,          21,      -4.495956981,      -4.304562837,       -4.46199852,      -3.728669302,      -10.32171438
          0,           0,          22,      -4.505039342,      -4.306864481,      -4.479428959,      -3.736834728,       -10.3287874
