"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.265449398,      -15.13528026,      -15.41111655,      -3.544773999,      -9.289299834
          0,           0,           1,      -4.733294453,      -4.246038291,      -4.361196728,      -3.971892282,      -9.702962887
          0,           0,           2,      -4.700992369,      -4.300485386,      -4.632189487,      -3.937594395,      -10.50428889
          0,           0,           3,      -4.631571126,      -4.362603529,      -4.525757353,      -3.892391871,      -10.58220083
          0,           0,           4,      -4.548284129,       -4.38854861,      -4.463218659,      -3.813850077,      -10.59358485
          0,           0,           5,      -4.508476252,      -4.403576482,      -4.463155936,      -3.768460839,      -10.59164127
          0,           0,           6,       -4.50053139,      -4.420195496,      -4.496365036,      -3.752890917,      -10.58370941
          0,           0,           7,      -4.498104221,      -4.433080407,      -4.514867887,      -3.743924168,      -10.58412642
          0,           0,           8,      -4.488685506,      -4.435741796,       -4.50189488,      -3.730838857,       -10.5852125
          0,           0,           9,      -4.474668064,      -4.427564644,      -4.478597623,      -3.715103503,      -10.57534138
          0,           0,          10,      -4.461315847,      -4.410746867,      -4.460449939,      -3.700169607,      -10.55355181
          0,           0,          11,      -4.450629461,       -4.38967917,       -4.44830398,      -3.687650473,       -10.5253461
          0,           0,          12,      -4.442635077,      -4.368220668,      -4.438844409,      -3.678039873,      -10.49531103
          0,           0,          13,      -4.437546554,      -4.347452728,      -4.429771716,      -3.671691826,      -10.46444222
          0,           0,          14,      -4.436594436,      -4.327079265,      -4.420535933,      -3.669616832,      -10.43206244
          0,           0,          15,      -4.441266175,       -4.30730692,      -4.411777962,       -3.67317245,      -10.39803586
          0,           0,          16,      -4.451672963,      -4.288564202,      -4.404250192,       -3.68250303,      -10.36269568
          0,           0,          17,      -4.465240862,      -4.270683549,      -4.398226715,      -3.694977101,      -10.32742051
          0,           0,          18,      -4.477393498,      -4.253354888,       -4.39388951,      -3.705666329,      -10.29375512
          0,           0,          19,      -4.484669245,          -4.23711,      -4.392094571,       -3.71075288,      -10.26270964
