"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -6.081898418,       -4.95509809,      -5.643430626,       -4.81872639,      -10.04783903
          0,           0,          64,      -6.107506699,      -4.980024546,      -5.668049063,      -4.844178977,      -10.03994503
          0,           0,          65,      -6.131515839,      -5.004974011,      -5.691683057,      -4.868903449,      -10.03324989
          0,           0,          66,      -6.154252357,      -5.029996072,      -5.715281874,      -4.892903596,       -10.0274982
          0,           0,          67,      -6.176276981,      -5.055154805,      -5.739655213,      -4.916286334,      -10.02240648
          0,           0,          68,      -6.198218288,      -5.080515796,      -5.765321008,      -4.939273083,      -10.01772841
          0,           0,          69,       -6.22063663,      -5.106134602,      -5.792408491,      -4.962192639,      -10.01320029
          0,           0,          70,      -6.243931856,      -5.132048988,      -5.820621483,      -4.985437458,      -10.00862787
          0,           0,          71,       -6.26827757,      -5.158275535,      -5.849273568,       -5.00938288,      -10.00395483
          0,           0,          72,      -6.293571457,       -5.18481116,      -5.877417165,      -5.034289512,      -9.999220196
          0,           0,          73,      -6.319426508,      -5.211639028,      -5.904065506,      -5.060223906,      -9.994528929
          0,           0,          74,      -6.345250288,       -5.23873561,      -5.928471439,      -5.087029071,      -9.990058613
          0,           0,          75,      -6.370422712,      -5.266074578,      -5.950374455,      -5.114359101,      -9.986004972
          0,           0,          76,      -6.394483757,      -5.293625374,      -5.970091975,       -5.14176588,      -9.982549024
          0,           0,          77,      -6.417213305,      -5.321347589,      -5.988365133,      -5.168807183,      -9.979802319
          0,           0,          78,      -6.438586271,      -5.349182419,      -6.006013475,      -5.195146843,      -9.977790476
          0,           0,          79,      -6.458668339,      -5.377042599,      -6.023566462,      -5.220619652,      -9.976459312
          0,           0,          80,      -6.477497087,      -5.404804172,      -6.041019935,      -5.245228204,      -9.975697842
          0,           0,          81,      -6.494962503,      -5.432302295,      -6.057771115,      -5.269058046,      -9.975365481
