"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.200548463,      -15.32510208,      -15.43596215,       -2.99304874,      -10.60495691
          0,           0,           1,      -4.835443096,      -4.159779081,      -4.150833622,      -3.607499609,      -10.73870932
          0,           0,           2,      -4.775978253,      -4.158329138,      -4.276898362,      -3.547458586,      -10.91959104
          0,           0,           3,       -4.76435162,      -4.176386174,      -4.259861546,      -3.533678671,      -10.85835231
          0,           0,           4,      -4.806638526,      -4.225146875,      -4.309070138,      -3.569438022,      -10.79219781
          0,           0,           5,      -4.792087296,      -4.268896877,      -4.349904098,      -3.545242945,      -10.77255616
          0,           0,           6,      -4.756514683,      -4.275547264,      -4.329803825,      -3.504205094,       -10.7722618
          0,           0,           7,      -4.752091965,      -4.266072074,      -4.302957238,       -3.49491589,      -10.76076268
          0,           0,           8,      -4.771831158,      -4.261756254,      -4.296192951,      -3.509921224,      -10.74657326
          0,           0,           9,      -4.791406276,      -4.262709404,      -4.301316508,      -3.527010746,      -10.73565232
          0,           0,          10,      -4.799750977,      -4.262595436,      -4.305619706,       -3.53528639,      -10.72135997
          0,           0,          11,      -4.804537233,      -4.258603852,      -4.305571899,      -3.540758882,      -10.70003478
          0,           0,          12,      -4.815372188,      -4.252954658,       -4.30626662,      -3.551915623,      -10.67379082
          0,           0,          13,       -4.83398581,      -4.249310499,      -4.313530405,       -3.56945824,       -10.6432885
          0,           0,          14,      -4.855900488,      -4.248816984,      -4.328065913,      -3.588078345,      -10.60957822
          0,           0,          15,      -4.875673328,      -4.248936668,      -4.344554143,      -3.603658041,      -10.57574281
          0,           0,          16,      -4.890811575,      -4.245935454,      -4.355690316,      -3.616845053,       -10.5449101
          0,           0,          17,      -4.903524056,      -4.238936456,      -4.359634756,      -3.630933982,      -10.51807893
          0,           0,          18,      -4.919510134,      -4.230690299,        -4.3623448,      -3.649025407,      -10.49321737
          0,           0,          19,      -4.943717618,      -4.224317116,      -4.371291677,       -3.67270539,      -10.46754767
          0,           0,          20,      -4.977602774,      -4.220541881,      -4.389448973,      -3.702309602,      -10.43923696
          0,           0,          21,       -5.01873762,      -4.217732078,      -4.414132139,      -3.736981816,      -10.40862739
          0,           0,          22,       -5.06177409,      -4.213914271,      -4.439401293,      -3.774117542,      -10.37810928
          0,           0,          23,      -5.102120016,       -4.20876265,       -4.46063178,      -3.810296974,      -10.34977484
          0,           0,          24,      -5.139864115,      -4.203617072,      -4.477822972,      -3.843906887,      -10.32518996
          0,           0,          25,       -5.17802125,       -4.20018004,      -4.494328347,      -3.875808511,      -10.30564679
          0,           0,          26,      -5.217913986,      -4.199560194,      -4.513140221,      -3.907294657,      -10.29247575
          0,           0,          27,      -5.257390934,      -4.202089352,      -4.534870584,      -3.938205148,      -10.28609542
          0,           0,          28,      -5.292850957,      -4.207527376,      -4.558108365,      -3.966938771,      -10.28688928
          0,           0,          29,      -5.322635132,      -4.215249469,      -4.580716158,       -3.99183429,      -10.29488709
          0,           0,          30,      -5.347759921,      -4.224317702,      -4.600876119,      -4.012002021,      -10.31007268
          0,           0,          31,      -5.369053205,      -4.233566699,      -4.617467878,      -4.026538158,      -10.33266272
          0,           0,          32,      -5.384691912,       -4.24182576,      -4.630063606,      -4.033730983,      -10.36198442
          0,           0,          33,      -5.391560208,       -4.24824738,      -4.638952089,      -4.032262884,      -10.39807081
          0,           0,          34,      -5.389109576,      -4.252566219,      -4.645177104,      -4.023365425,      -10.44027045
          0,           0,          35,      -5.380897784,      -4.255137226,      -4.650350925,      -4.010936313,      -10.48714286
          0,           0,          36,      -5.372168608,       -4.25675833,      -4.656257713,      -3.999432506,      -10.53639912
          0,           0,          37,      -5.367010645,      -4.258406945,      -4.664492045,      -3.992039317,      -10.58408791
          0,           0,          38,      -5.367541329,      -4.261011283,      -4.676284409,      -3.990306213,      -10.62538565
          0,           0,          39,      -5.374440198,      -4.265313036,      -4.692468413,      -3.994639539,      -10.65451581
          0,           0,          40,      -5.387662159,      -4.271816406,      -4.713485247,      -4.004879628,      -10.66825988
          0,           0,          41,      -5.406863662,      -4.280794826,      -4.739369869,      -4.020647754,       -10.6664496
          0,           0,          42,      -5.431541589,      -4.292331177,      -4.769724232,      -4.041459594,      -10.65290925
          0,           0,          43,      -5.461017579,      -4.306367919,      -4.803709736,      -4.066705289,      -10.63235793
          0,           0,          44,      -5.494384194,      -4.322754234,      -4.840098257,      -4.095596157,      -10.60832598
          0,           0,          45,      -5.530464145,      -4.341280931,      -4.877407511,      -4.127132963,      -10.58343174
          0,           0,          46,      -5.567798086,      -4.361701968,      -4.914121163,      -4.160116313,      -10.55876961
          0,           0,          47,      -5.604684733,      -4.383744993,       -4.94894768,       -4.19320918,      -10.53476688
          0,           0,          48,      -5.639333282,      -4.407116536,      -4.981035826,      -4.225067501,      -10.51144357
          0,           0,          49,      -5.670179666,      -4.431507563,      -5.010073651,      -4.254544004,      -10.48861351
          0,           0,          50,      -5.696314327,      -4.456601561,      -5.036254296,      -4.280927705,      -10.46620442
          0,           0,          51,      -5.717810383,      -4.482086942,      -5.060153424,      -4.304125147,       -10.4441313
          0,           0,          52,       -5.73570994,      -4.507671225,      -5.082575753,       -4.32467172,      -10.42227251
          0,           0,          53,      -5.751641834,      -4.533096009,      -5.104402388,      -4.343540441,      -10.40050149
          0,           0,          54,      -5.767305592,      -4.558150579,      -5.126458008,      -4.361840647,      -10.37884552
          0,           0,          55,      -5.784092832,      -4.582682192,       -5.14941589,      -4.380553678,      -10.35737332
          0,           0,          56,       -5.80294416,      -4.606601572,      -5.173748598,      -4.400393446,      -10.33611828
          0,           0,          57,      -5.824380795,      -4.629883014,       -5.19972057,      -4.421787737,      -10.31514475
          0,           0,          58,      -5.848604885,      -4.652558949,      -5.227405991,      -4.444925732,      -10.29447724
          0,           0,          59,       -5.87559701,      -4.674710407,      -5.256712745,      -4.469822126,      -10.27416646
          0,           0,          60,      -5.905182254,      -4.696453929,      -5.287400908,      -4.496369721,      -10.25423653
          0,           0,          61,      -5.937062807,      -4.717926248,      -5.319093125,      -4.524371861,      -10.23475716
          0,           0,          62,      -5.970826829,      -4.739268668,      -5.351286095,      -4.553557537,      -10.21578301
          0,           0,          63,      -6.005947847,      -4.760613016,      -5.383378486,      -4.583587995,      -10.19737583
          0,           0,          64,      -6.041783595,      -4.782070444,      -5.414726893,      -4.614061651,      -10.17962922
          0,           0,          65,      -6.077587832,      -4.803723996,      -5.444732514,      -4.644526098,      -10.16258809
          0,           0,          66,      -6.112550607,      -4.825625206,      -5.472941193,      -4.674505803,      -10.14630654
          0,           0,          67,      -6.145874368,      -4.847793682,      -5.499126054,      -4.703546318,      -10.13084715
          0,           0,          68,      -6.176882173,      -4.870220138,      -5.523320051,      -4.731270374,       -10.1162618
          0,           0,          69,      -6.205129315,      -4.892871072,      -5.545788389,       -4.75742973,      -10.10261022
          0,           0,          70,      -6.230481724,       -4.91569548,      -5.566955131,        -4.7819382,      -10.08994343
          0,           0,          71,      -6.253128351,      -4.938632741,      -5.587318929,       -4.80487436,      -10.07828051
          0,           0,          72,      -6.273526447,      -4.961621493,       -5.60737808,      -4.826456356,      -10.06766181
          0,           0,          73,      -6.292302606,      -4.984608601,      -5.627581983,      -4.846998599,      -10.05808704
          0,           0,          74,      -6.310144781,      -5.007557044,      -5.648304999,       -4.86686405,      -10.04956042
          0,           0,          75,       -6.32770927,      -5.030451803,      -5.669832535,      -4.886419541,      -10.04206177
          0,           0,          76,      -6.345559324,       -5.05330266,      -5.692354026,      -4.906003199,      -10.03554486
          0,           0,          77,      -6.364134309,      -5.076143407,      -5.715957597,      -4.925904288,      -10.02991272
          0,           0,          78,      -6.383742231,      -5.099027909,      -5.740626934,      -4.946353389,      -10.02506262
          0,           0,          79,      -6.404566292,      -5.122023551,      -5.766241629,      -4.967519977,      -10.02085568
          0,           0,          80,      -6.426676769,      -5.145203213,      -5.792585387,      -4.989513463,      -10.01713231
          0,           0,          81,      -6.450044763,      -5.168637351,      -5.819362511,      -5.012386193,      -10.01373284
          0,           0,          82,      -6.474553817,      -5.192387019,      -5.846224531,       -5.03613651,      -10.01049756
          0,           0,          83,       -6.50001168,      -5.216498656,       -5.87280564,      -5.060712963,      -10.00728807
          0,           0,          84,      -6.526162755,      -5.241000829,      -5.898763202,      -5.086019896,      -10.00400098
          0,           0,          85,       -6.55270235,      -5.265902806,      -5.923816858,      -5.111925287,      -10.00057899
          0,           0,          86,      -6.579292914,      -5.291194134,      -5.947774614,      -5.138270189,      -9.997019779
          0,           0,          87,      -6.605579796,      -5.316845144,      -5.970540095,      -5.164878505,      -9.993365544
          0,           0,          88,      -6.631206328,      -5.342807518,      -5.992096637,      -5.191567299,       -9.98972324
          0,           0,          89,      -6.655824493,      -5.369013951,      -6.012470363,      -5.218153951,      -9.986166579
          0,           0,          90,       -6.67909955,      -5.395377852,      -6.031681653,       -5.24445811,      -9.982818805
          0,           0,          91,      -6.700711832,      -5.421792563,      -6.049695552,      -5.270298169,      -9.979788079
          0,           0,          92,      -6.720356017,      -5.448130512,      -6.066383945,       -5.29548191,      -9.977151569
          0,           0,          93,       -6.73774058,      -5.474242613,      -6.081507155,       -5.31979291,      -9.974948793
          0,           0,          94,      -6.752591182,      -5.499959492,      -6.094721918,        -5.3429771,        -9.9731807
          0,           0,          95,      -6.764656981,      -5.525092918,      -6.105615248,      -5.364731903,      -9.971815111
          0,           0,          96,      -6.773724845,      -5.549439625,      -6.113761364,      -5.384705546,      -9.970796939
          0,           0,          97,      -6.779642985,      -5.572786912,      -6.118792596,      -5.402512047,      -9.970051009
          0,           0,          98,      -6.782350638,      -5.594920314,      -6.120471599,      -5.417764768,      -9.969491871
          0,           0,          99,      -6.781905962,      -5.615633561,      -6.118747166,         -5.430126,       -9.96903033
          0,           0,         100,      -6.778500356,      -5.634739277,      -6.113774913,      -5.439362464,      -9.968587246
          0,           0,         101,      -6.772452946,      -5.652080931,      -6.105901145,      -5.445392749,      -9.968103828
          0,           0,         102,      -6.764180996,      -5.667543629,      -6.095614081,      -5.448308927,      -9.967534693
          0,           0,         103,       -6.75415672,      -5.681062297,      -6.083477563,       -5.44836733,      -9.966862184
          0,           0,         104,      -6.742860212,      -5.692626294,      -6.070065592,       -5.44595067,      -9.966093841
