"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.200548463,      -4.141575184,      -3.927264105,      -3.179359164
          0,           0,           1,      -4.495178333,      -4.247568216,      -4.253810811,      -3.465780713
          0,           0,           2,      -4.590598363,      -4.250358823,      -4.318471964,      -3.560444367
          0,           0,           3,      -4.716209074,      -4.292287363,      -4.416374504,      -3.685999974
          0,           0,           4,       -4.81134203,      -4.343555774,      -4.517553047,      -3.778085394
          0,           0,           5,      -4.881497635,      -4.390937956,      -4.609047354,      -3.844693201
          0,           0,           6,      -4.984267167,      -4.448514869,      -4.709502516,      -3.944702672
          0,           0,           7,      -5.060921099,      -4.487509846,       -4.80088124,      -4.019067692
          0,           0,           8,      -5.123902173,      -4.518373025,      -4.888972938,      -4.076845984
          0,           0,           9,       -5.18093468,      -4.544518447,      -4.962431285,      -4.130282408
          0,           0,          10,      -5.248611154,      -4.578715165,      -5.039192246,      -4.193476301
          0,           0,          11,      -5.303015005,      -4.603602619,      -5.100389987,      -4.245371778
          0,           0,          12,      -5.348240434,      -4.629517551,      -5.158869311,      -4.286978896
          0,           0,          13,      -5.393445146,      -4.657512223,      -5.211443442,      -4.329251514
          0,           0,          14,      -5.426875672,      -4.680000695,      -5.251984962,      -4.360782448
          0,           0,          15,      -5.449818301,      -4.698942946,      -5.283478563,      -4.382273001
          0,           0,          16,      -5.498038226,      -4.727536333,      -5.321994237,      -4.429502595
          0,           0,          17,      -5.534869427,      -4.751514783,       -5.35657053,      -4.465140633
          0,           0,          18,      -5.562196411,      -4.773553308,      -5.388029633,      -4.492166215
          0,           0,          19,      -5.610508943,       -4.80409359,      -5.427781628,      -4.539985523
          0,           0,          20,      -5.644528763,      -4.830155336,       -5.46169004,      -4.572953275
          0,           0,          21,      -5.667643485,      -4.853792937,      -5.489311158,      -4.595802901
          0,           0,          22,      -5.710908851,      -4.884501389,      -5.523207258,      -4.638381539
          0,           0,          23,       -5.74096952,      -4.911215321,      -5.551976034,      -4.667540611
          0,           0,          24,      -5.762949643,       -4.93583229,      -5.575606064,      -4.689666649
          0,           0,          25,      -5.805975147,      -4.966756509,      -5.609886294,      -4.732188537
          0,           0,          26,       -5.83714333,      -4.993839049,      -5.640835221,      -4.762672045
          0,           0,          27,      -5.867534194,      -5.020559361,      -5.671650137,       -4.79290222
          0,           0,          28,      -5.902725522,       -5.04884225,      -5.703831728,      -4.827301292
          0,           0,          29,      -5.931647667,      -5.074984506,      -5.733887215,      -4.856143263
          0,           0,          30,      -5.960003973,      -5.100321573,      -5.763285432,      -4.884344677
          0,           0,          31,      -5.993690042,      -5.127426416,       -5.79200953,      -4.917218723
          0,           0,          32,      -6.022746224,      -5.153355456,       -5.81875612,      -4.946215954
