"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.760158931,      -3.690146992,      -3.491401095,      -2.738969632
          0,           0,           1,      -4.023982948,      -3.778656106,      -3.774005158,      -2.993451507
          0,           0,           2,      -4.159378691,      -3.823049914,       -3.84584559,      -3.126977005
          0,           0,           3,      -4.298259445,      -3.876082828,      -3.942964772,      -3.266670716
          0,           0,           4,      -4.403753058,      -3.932254911,      -4.038595732,      -3.377777739
          0,           0,           5,      -4.489611459,      -3.980259612,      -4.143761134,      -3.462564456
          0,           0,           6,      -4.559250666,      -4.020380954,      -4.243110687,      -3.526825822
          0,           0,           7,      -4.632249219,      -4.058862693,      -4.333500949,      -3.599381035
          0,           0,           8,      -4.705061687,      -4.099361896,      -4.416708953,      -3.670447633
          0,           0,           9,      -4.774545866,      -4.142170907,       -4.49165733,       -3.73749586
          0,           0,          10,      -4.846151623,        -4.1842311,      -4.567845102,      -3.808860052
          0,           0,          11,       -4.90370423,      -4.221361624,       -4.63528364,      -3.864083109
          0,           0,          12,      -4.944124458,      -4.251949011,      -4.688120563,      -3.901394686
          0,           0,          13,      -4.994296328,       -4.28498637,      -4.737708347,      -3.950381095
          0,           0,          14,      -5.037420276,      -4.314675567,      -4.779492242,      -3.990856521
          0,           0,          15,      -5.078590453,        -4.3450456,       -4.81824977,      -4.029800597
          0,           0,          16,      -5.134459856,      -4.381246384,      -4.866741853,      -4.085251141
          0,           0,          17,      -5.185364846,      -4.416249049,      -4.916341108,      -4.134446131
          0,           0,          18,      -5.232204873,      -4.451729443,      -4.961739895,       -4.17999762
          0,           0,          19,      -5.285970109,       -4.48968951,      -5.008555209,      -4.233615269
          0,           0,          20,      -5.327779408,       -4.52606569,      -5.051096673,      -4.274387369
          0,           0,          21,      -5.363094406,      -4.562720906,      -5.088933339,      -4.309299798
          0,           0,          22,      -5.411977376,      -4.601751674,      -5.133704825,      -4.357904332
          0,           0,          23,      -5.451717535,      -4.639117262,      -5.179112799,      -4.396142479
          0,           0,          24,      -5.489716849,      -4.676638771,      -5.220469103,      -4.432702684
          0,           0,          25,      -5.537851902,      -4.716959086,       -5.26406871,      -4.478703605
          0,           0,          26,      -5.586834042,      -4.757245872,       -5.30979413,      -4.525534267
          0,           0,          27,      -5.637788253,      -4.798066327,      -5.357579167,      -4.574422657
          0,           0,          28,       -5.69310385,      -4.840798818,      -5.408022346,       -4.62760986
          0,           0,          29,      -5.744802491,      -4.883629289,      -5.458971424,       -4.67793863
          0,           0,          30,      -5.794598153,      -4.927120293,      -5.508006607,       -4.72678999
          0,           0,          31,      -5.843841031,      -4.971802152,      -5.553998621,      -4.775335623
          0,           0,          32,      -5.890365256,      -5.017574704,      -5.596944965,      -4.821475474
          0,           0,          33,      -5.948591334,      -5.063911557,      -5.639957238,      -4.879464649
          0,           0,          34,      -5.994510546,      -5.109737237,       -5.68696895,       -4.92469695
          0,           0,          35,      -6.038131395,      -5.157417636,      -5.733386696,      -4.968097501
          0,           0,          36,      -6.087467581,      -5.207333951,      -5.781914358,      -5.016926773
          0,           0,          37,      -6.137108565,      -5.258135807,      -5.833315082,      -5.065601072
          0,           0,          38,      -6.197554476,      -5.307578583,      -5.885777272,      -5.124940283
          0,           0,          39,      -6.248790032,      -5.356770695,      -5.941012924,      -5.174382887
          0,           0,          40,      -6.297393397,      -5.407122235,      -5.992541026,      -5.221864978
          0,           0,          41,      -6.351236403,      -5.459084308,      -6.043110186,      -5.274647879
          0,           0,          42,      -6.406307425,      -5.512228567,      -6.094638393,      -5.328442457
          0,           0,          43,      -6.465427686,        -5.5626664,      -6.146072325,      -5.387389988
          0,           0,          44,      -6.514600351,       -5.61312735,       -6.20044634,      -5.436170496
          0,           0,          45,      -6.561075847,      -5.665052195,      -6.251265283,      -5.482962963
          0,           0,          46,      -6.614587442,       -5.71945261,      -6.301809164,      -5.536516475
          0,           0,          47,      -6.666576626,      -5.774224869,      -6.354050203,      -5.589024545
          0,           0,          48,      -6.717760322,      -5.829295157,      -6.407066258,      -5.640894314
          0,           0,          49,      -6.772200964,       -5.88548537,      -6.461150848,       -5.69554751
          0,           0,          50,      -6.825850942,      -5.941937196,       -6.51533459,      -5.749798405
          0,           0,          51,        -6.8797772,       -5.99876948,      -6.569554894,      -5.804654497
          0,           0,          52,      -6.940386204,      -6.053199954,      -6.624775432,      -5.866505988
          0,           0,          53,      -6.994379294,      -6.108101071,      -6.683163753,      -5.921155855
          0,           0,          54,      -7.043129761,      -6.163709787,      -6.736791981,      -5.971790334
          0,           0,          55,      -7.100781185,      -6.217436168,      -6.790462885,      -6.032144757
          0,           0,          56,      -7.151713545,      -6.271618649,      -6.846469975,      -6.085195395
          0,           0,          57,      -7.195056177,      -6.325785275,      -6.895408674,      -6.131860733
          0,           0,          58,      -7.247764577,      -6.377981752,       -6.94618052,      -6.188943377
          0,           0,          59,      -7.293894915,      -6.430371824,      -6.997393746,      -6.238373028
          0,           0,          60,      -7.331412378,      -6.482281685,      -7.037951572,      -6.280181259
          0,           0,          61,      -7.379332201,      -6.532541986,      -7.083892969,      -6.334098143
          0,           0,          62,      -7.421580792,      -6.582713229,      -7.128887705,      -6.380622871
          0,           0,          63,      -7.454468143,      -6.632014671,      -7.162048184,      -6.418208588
          0,           0,          64,      -7.495144105,      -6.679203646,      -7.198942486,      -6.466572719
          0,           0,          65,      -7.534093448,      -6.726616499,       -7.23865996,      -6.510523662
          0,           0,          66,       -7.56327717,      -6.772997802,      -7.267517512,       -6.54422651
          0,           0,          67,      -7.598187961,      -6.816865201,      -7.297945318,      -6.587625786
          0,           0,          68,      -7.632567359,      -6.860633075,      -7.332203514,      -6.627089689
          0,           0,          69,      -7.656295796,      -6.902731335,      -7.354680894,      -6.654336073
          0,           0,          70,      -7.686536886,      -6.942785912,      -7.380951582,      -6.692859853
          0,           0,          71,      -7.717614355,      -6.982489494,      -7.411759528,      -6.728211214
          0,           0,          72,      -7.737514734,      -7.019960558,      -7.430173378,      -6.749802733
          0,           0,          73,      -7.764749796,       -7.05610692,      -7.454075208,      -6.784458154
          0,           0,          74,      -7.796402058,      -7.092849339,      -7.488230717,      -6.819571333
          0,           0,          75,      -7.810455274,      -7.124375906,       -7.49611877,      -6.832923203
          0,           0,          76,      -7.837983636,      -7.158103457,      -7.524421926,      -6.867241781
          0,           0,          77,      -7.865482638,      -7.189981277,       -7.55072496,      -6.896713676
          0,           0,          78,      -7.881327993,      -7.219189292,      -7.564792035,      -6.910886922
          0,           0,          79,      -7.905987924,       -7.24892699,      -7.586972623,      -6.941363862
          0,           0,          80,      -7.936391382,      -7.279741337,      -7.620344069,      -6.973648483
          0,           0,          81,       -7.94872162,      -7.304491038,      -7.626583583,      -6.982617163
          0,           0,          82,      -7.975501875,      -7.333808969,      -7.655153921,      -7.015273871
          0,           0,          83,      -8.002738234,      -7.361173965,      -7.681520552,      -7.043165903
          0,           0,          84,      -8.018072352,       -7.38597755,      -7.695686745,      -7.055285373
          0,           0,          85,      -8.042784334,      -7.412631699,      -7.718618286,      -7.085208349
          0,           0,          86,      -8.073412832,      -7.440789317,      -7.752748627,      -7.117006572
          0,           0,          87,      -8.085896232,      -7.462593962,      -7.759646164,      -7.125081077
          0,           0,          88,      -8.113096293,        -7.4902802,       -7.78930338,      -7.157964981
          0,           0,          89,       -8.14086461,      -7.516000131,      -7.816572835,      -7.185856834
          0,           0,          90,      -8.156721306,      -7.539341066,      -7.831761839,       -7.19800832
          0,           0,          91,      -8.182086501,      -7.565085894,         -7.855859,      -7.228513269
          0,           0,          92,      -8.213315482,      -7.592544767,      -7.890967193,       -7.26068481
          0,           0,          93,      -8.226689792,      -7.613621105,      -7.899038304,      -7.269359631
          0,           0,          94,      -8.254498743,      -7.641035045,      -7.929909828,      -7.302980824
          0,           0,          95,      -8.283010738,      -7.666472179,      -7.958196932,      -7.331458979
