"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -4.19500145,      -4.204564069,       -4.06968366,      -3.474326051
          0,           0,           1,       -4.37677106,      -4.232727349,      -4.253463295,      -3.645135768
          0,           0,           2,      -4.367070963,      -4.229819034,      -4.275611482,      -3.639995278
          0,           0,           3,      -4.394276711,      -4.255627448,      -4.353925787,       -3.67065115
          0,           0,           4,      -4.436233541,      -4.286720329,      -4.445595117,       -3.71080035
          0,           0,           5,      -4.484713107,      -4.320785082,      -4.520458964,      -3.758950787
          0,           0,           6,      -4.543467695,      -4.360186282,      -4.606396838,       -3.81566968
          0,           0,           7,      -4.595784584,      -4.390920812,      -4.687409638,       -3.86937543
          0,           0,           8,      -4.644110586,      -4.418126182,       -4.76593849,      -3.913346483
          0,           0,           9,      -4.688891238,      -4.446664254,      -4.835523604,      -3.960017011
          0,           0,          10,      -4.728202848,      -4.470002858,      -4.898849152,      -3.994651753
          0,           0,          11,       -4.76546363,       -4.49397232,      -4.961185287,      -4.035007843
          0,           0,          12,      -4.797179379,      -4.515351924,      -5.015947756,      -4.061720505
          0,           0,          13,      -4.819406457,      -4.534289954,       -5.05037622,      -4.087425505
          0,           0,          14,      -4.838332857,      -4.557425249,      -5.082832361,      -4.103809812
          0,           0,          15,      -4.845093806,      -4.577836654,      -5.094863497,      -4.117490268
          0,           0,          16,      -4.833037212,      -4.598942548,       -5.10209726,      -4.104892527
          0,           0,          17,      -4.825478229,      -4.619756801,       -5.10618528,      -4.106309332
          0,           0,          18,      -4.829592743,      -4.644829845,      -5.109362764,      -4.108131645
          0,           0,          19,      -4.847307736,      -4.666622569,      -5.109838785,      -4.132344005
          0,           0,          20,      -4.853287806,      -4.690346132,      -5.107432844,      -4.132262892
          0,           0,          21,      -4.859430022,      -4.719698951,      -5.132258767,       -4.14490239
          0,           0,          22,      -4.861810354,      -4.748068641,      -5.157659714,      -4.143075773
          0,           0,          23,      -4.889042365,       -4.77531133,      -5.198122719,      -4.176114316
          0,           0,          24,      -4.928098542,      -4.802288515,      -5.227795333,      -4.208456338
          0,           0,          25,      -4.981517489,      -4.834149987,      -5.261792352,      -4.263612214
          0,           0,          26,      -5.027756593,      -4.864290269,      -5.275419588,       -4.30293293
          0,           0,          27,      -5.077668618,      -4.895328377,      -5.312590199,      -4.354882121
          0,           0,          28,      -5.123452398,      -4.923987883,      -5.345784038,      -4.396010378
          0,           0,          29,      -5.178733507,      -4.956223555,      -5.396156317,      -4.454294431
          0,           0,          30,      -5.229971004,      -4.984418591,      -5.434789363,       -4.50262224
          0,           0,          31,        -5.2879907,      -5.014221655,      -5.479127475,      -4.563012921
          0,           0,          32,      -5.347513738,      -5.045026839,      -5.506332038,      -4.619025148
          0,           0,          33,       -5.40471786,      -5.077306694,      -5.560653623,      -4.679164884
          0,           0,          34,      -5.440545228,      -5.107205712,      -5.581462356,      -4.714783211
          0,           0,          35,       -5.45759726,      -5.139916596,      -5.624344481,      -4.738478553
          0,           0,          36,      -5.433762994,      -5.164030749,      -5.631911907,      -4.713089245
          0,           0,          37,      -5.400978057,      -5.180245946,       -5.63497481,      -4.684898428
          0,           0,          38,      -5.347914515,      -5.188334785,      -5.627128727,      -4.625930524
          0,           0,          39,      -5.315365717,      -5.198027582,      -5.624944711,       -4.59693127
          0,           0,          40,      -5.261256936,      -5.199936937,      -5.596732383,       -4.53562974
          0,           0,          41,      -5.220971812,      -5.220179911,      -5.593346222,      -4.500417836
          0,           0,          42,      -5.159855537,       -5.22974844,      -5.567399062,      -4.432299585
          0,           0,          43,      -5.102169665,       -5.22352085,      -5.544306503,       -4.37931615
          0,           0,          44,      -5.046235398,      -5.116361973,      -5.501715271,      -4.316115282
          0,           0,          45,       -5.01901482,      -5.060442687,      -5.489067564,      -4.288964869
          0,           0,          46,      -4.972690033,      -5.057195565,      -5.466482026,      -4.236482504
          0,           0,          47,      -4.913045577,      -5.095935639,      -5.433087803,      -4.182254018
          0,           0,          48,      -4.862852357,      -5.035290758,      -5.395285699,      -4.126156035
