"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,       -3.90832945,      -14.89990095,      -15.14447182,      -3.187654051,      -8.878152722
          0,           0,           1,       -4.37033229,      -3.876437087,      -4.042948636,       -3.60730722,      -9.288732964
          0,           0,           2,      -4.402306992,       -3.94771395,      -4.351799151,       -3.63352625,      -10.09504151
          0,           0,           3,      -4.365112556,       -4.01834765,      -4.242557566,      -3.622256681,      -10.23688455
          0,           0,           4,      -4.274083249,      -4.049524496,      -4.164601689,      -3.536801056,      -10.25176188
          0,           0,           5,      -4.213800284,      -4.060740831,      -4.145863436,      -3.471160906,      -10.23554396
          0,           0,           6,      -4.183060364,      -4.062259279,      -4.158512759,      -3.434157297,      -10.20441087
          0,           0,           7,      -4.162783477,      -4.056173719,      -4.162212505,      -3.409047743,      -10.16962633
          0,           0,           8,      -4.141763021,      -4.043712638,      -4.143447564,      -3.385736344,      -10.13515242
          0,           0,           9,      -4.119834089,      -4.026489566,      -4.117589847,      -3.362724837,      -10.10202436
          0,           0,          10,      -4.103246122,      -4.006960357,      -4.099105664,      -3.344723207,      -10.07004017
          0,           0,          11,      -4.097564433,      -3.989144542,      -4.093193105,      -3.337303511,      -10.04007484
          0,           0,          12,      -4.103504647,      -3.976110897,       -4.09987628,      -3.341795861,      -10.01450396
          0,           0,          13,      -4.116791699,      -3.968613924,      -4.116595751,       -3.35426684,      -9.996573359
