"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.200548463,      -4.235377803,      -4.158258486,      -3.645887346
          0,           0,           1,      -4.323764228,      -4.260201702,      -4.275290305,      -3.762096573
          0,           0,           2,      -4.239671248,      -4.230425267,      -4.269765826,      -3.685239084
          0,           0,           3,      -4.215494685,      -4.223087088,      -4.325783471,      -3.663932403
          0,           0,           4,      -4.214016072,      -4.207683912,      -4.385548865,      -3.658325934
          0,           0,           5,      -4.228593762,      -4.215709557,      -4.432826487,      -3.670891046
          0,           0,           6,      -4.221904651,      -4.201711646,      -4.449669269,      -3.653127305
          0,           0,           7,      -4.221853589,      -4.211418642,      -4.479776456,       -3.66360572
          0,           0,           8,      -4.238260251,      -4.216176432,      -4.521337344,      -3.672902971
          0,           0,           9,      -4.275239875,      -4.231760606,      -4.559610474,      -3.702152772
          0,           0,          10,      -4.309618654,      -4.258976185,      -4.587606708,      -3.748281897
          0,           0,          11,      -4.338171557,      -4.276369004,      -4.623990288,      -3.774901772
          0,           0,          12,      -4.364581076,      -4.295342363,      -4.653196489,      -3.795999006
          0,           0,          13,      -4.379516336,      -4.316224157,      -4.663300542,      -3.823166621
          0,           0,          14,      -4.379709747,      -4.336090468,      -4.665370639,      -3.821946782
          0,           0,          15,      -4.383518783,      -4.353245607,       -4.68691233,      -3.820131518
          0,           0,          16,      -4.402577586,      -4.378652928,       -4.71432353,      -3.838199117
          0,           0,          17,      -4.431948816,      -4.393692683,      -4.743445628,      -3.860211904
          0,           0,          18,      -4.463377415,      -4.430954455,      -4.781169789,      -3.905915389
          0,           0,          19,      -4.501005296,      -4.462006071,      -4.829574904,      -3.941638994
          0,           0,          20,      -4.551893724,      -4.494225165,      -4.871844655,      -3.983946306
          0,           0,          21,      -4.599349658,      -4.535148734,      -4.911815514,      -4.042819806
          0,           0,          22,      -4.650492058,      -4.576734765,      -4.957319934,      -4.092291054
          0,           0,          23,      -4.698041764,      -4.612850025,      -4.991910495,       -4.13226982
          0,           0,          24,      -4.725915831,      -4.650799865,      -5.023578415,      -4.171157407
          0,           0,          25,      -4.751369516,       -4.68853906,      -5.055978828,      -4.194437602
          0,           0,          26,      -4.774120086,      -4.721734849,      -5.081921025,      -4.208197581
          0,           0,          27,      -4.795296904,       -4.75962423,      -5.115786051,      -4.240776333
          0,           0,          28,      -4.821217265,      -4.797358067,        -5.1518971,      -4.263283033
          0,           0,          29,      -4.858088946,      -4.835385805,      -5.189020471,      -4.291301791
          0,           0,          30,      -4.894224878,      -4.877045435,       -5.22811293,      -4.338288095
          0,           0,          31,      -4.934837372,      -4.917234934,      -5.267652554,      -4.376242967
          0,           0,          32,      -4.980413641,      -4.956385664,       -5.30569297,      -4.413239627
          0,           0,          33,      -5.018355757,      -5.000645351,      -5.347549473,      -4.462300015
          0,           0,          34,      -5.056990851,      -5.043261597,      -5.387878361,      -4.498240961
          0,           0,          35,      -5.098152597,      -5.084130297,      -5.426313637,      -4.530857755
          0,           0,          36,      -5.130048019,      -5.127832101,       -5.46651267,      -4.574168941
          0,           0,          37,      -5.167164145,      -5.172882163,      -5.508481514,      -4.608769724
          0,           0,          38,       -5.20959489,      -5.215837868,      -5.544333679,      -4.642363833
          0,           0,          39,      -5.249837506,      -5.261885562,      -5.580014596,      -4.680541629
          0,           0,          40,      -5.290606718,      -5.309903605,      -5.615058485,      -4.720800912
          0,           0,          41,      -5.334609534,      -5.359041514,      -5.651192843,      -4.760685874
          0,           0,          42,      -5.368856143,      -5.409864205,      -5.693000546,      -4.811217535
          0,           0,          43,      -5.409458084,      -5.458931937,      -5.731796646,      -4.849638279
          0,           0,          44,      -5.455308151,      -5.506683765,      -5.770461863,       -4.88727758
          0,           0,          45,      -5.498702374,      -5.556484204,      -5.810478359,      -4.926047345
          0,           0,          46,      -5.527853254,      -5.607289467,      -5.849330287,      -4.973005394
          0,           0,          47,      -5.564804401,      -5.657026318,       -5.88517765,      -5.007245323
          0,           0,          48,      -5.608418864,      -5.704930185,      -5.918470665,       -5.04194283
          0,           0,          49,      -5.649650714,      -5.755199612,      -5.952528306,      -5.078245377
          0,           0,          50,      -5.676029586,      -5.806790718,      -5.989844691,      -5.122944805
          0,           0,          51,      -5.711046978,      -5.857708118,      -6.024542011,      -5.154179317
          0,           0,          52,      -5.751913269,      -5.905113323,      -6.058559471,      -5.185614352
          0,           0,          53,      -5.789072611,      -5.953128355,      -6.095366003,      -5.217763339
          0,           0,          54,      -5.811863829,      -6.001899675,      -6.133885224,      -5.258902624
          0,           0,          55,      -5.845256671,      -6.049715202,      -6.171123593,      -5.288573293
          0,           0,          56,      -5.884524105,      -6.093464152,      -6.207460775,      -5.318685843
          0,           0,          57,       -5.91882026,      -6.139890333,      -6.245870347,      -5.351973234
          0,           0,          58,      -5.952242996,      -6.186417214,      -6.280753317,      -5.385137403
          0,           0,          59,      -5.986980751,      -6.232082566,      -6.313155116,      -5.419210277
          0,           0,          60,      -6.022563686,      -6.277750122,      -6.344966686,      -5.454484424
