"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.688177035,      -3.687836363,      -3.569804148,      -2.967501636
          0,           0,           1,      -3.910737228,      -3.792951692,      -3.774061184,      -3.185310235
          0,           0,           2,      -3.903124172,      -3.838358136,      -3.792917305,      -3.183141086
          0,           0,           3,      -3.948090428,      -3.889337766,      -3.862769655,      -3.227279456
          0,           0,           4,      -3.995119328,      -3.946427643,      -3.947056993,      -3.281000413
          0,           0,           5,      -4.046323697,      -3.985333151,      -4.025998269,      -3.330390551
          0,           0,           6,      -4.114760074,      -4.033025321,      -4.111275082,      -3.391957842
          0,           0,           7,      -4.169995728,      -4.083795028,      -4.209392349,      -3.453254972
          0,           0,           8,      -4.225363413,       -4.13321421,      -4.311023372,      -3.504340235
          0,           0,           9,      -4.280005272,       -4.17344993,      -4.396050687,      -3.549077709
          0,           0,          10,      -4.318850253,      -4.211629924,      -4.472516251,      -3.597348624
          0,           0,          11,      -4.358906013,      -4.247688405,      -4.541053409,         -3.634466
          0,           0,          12,      -4.415314609,      -4.282146926,      -4.610748148,      -3.680043577
          0,           0,          13,       -4.47656812,      -4.316280318,      -4.684539394,      -3.734755215
          0,           0,          14,      -4.535787355,      -4.362580562,      -4.749806684,      -3.805243014
          0,           0,          15,      -4.584149721,      -4.405668989,      -4.800344737,      -3.856973899
          0,           0,          16,      -4.631902119,      -4.444270418,      -4.838990608,      -3.897346194
          0,           0,          17,      -4.667002018,      -4.478714453,      -4.881643921,      -3.926496458
          0,           0,          18,      -4.706784773,       -4.52165923,      -4.938819226,      -3.979851464
          0,           0,          19,       -4.74402971,       -4.55821288,      -5.001577262,      -4.018516718
          0,           0,          20,      -4.806225661,      -4.592936847,      -5.058828509,      -4.070865417
          0,           0,          21,      -4.888717421,      -4.628851472,         -5.107028,      -4.144002229
          0,           0,          22,      -4.981567257,      -4.672286081,      -5.148683945,      -4.242166725
          0,           0,          23,      -5.060581106,      -4.719088296,      -5.197586189,      -4.324661817
          0,           0,          24,      -5.127959569,      -4.767932468,      -5.254739734,      -4.388252917
          0,           0,          25,      -5.189450593,      -4.818119402,      -5.325624697,       -4.44526007
          0,           0,          26,      -5.252784206,      -4.866431714,      -5.404456205,       -4.50685695
          0,           0,          27,      -5.322778579,      -4.913793753,      -5.478544611,      -4.575754555
          0,           0,          28,      -5.405278561,      -4.963263632,      -5.541968152,      -4.656645018
          0,           0,          29,      -5.486986486,      -5.014784009,      -5.596963455,      -4.744042485
          0,           0,          30,      -5.562433257,      -5.069157949,      -5.664401413,      -4.821528459
          0,           0,          31,      -5.631336293,      -5.124572861,      -5.733771755,      -4.887687005
          0,           0,          32,      -5.688281915,      -5.181054486,      -5.800289528,      -4.942047841
          0,           0,          33,      -5.736458759,      -5.238568402,      -5.862650925,      -4.989192236
          0,           0,          34,       -5.78248779,      -5.297435139,       -5.92217612,      -5.034077348
          0,           0,          35,      -5.836381588,      -5.353862094,      -5.978340102,      -5.092967066
          0,           0,          36,      -5.884132497,      -5.411927742,       -6.04180617,      -5.140990373
          0,           0,          37,      -5.927207136,      -5.471014294,      -6.103103137,      -5.179863747
          0,           0,          38,      -5.959778266,      -5.531074272,      -6.158251811,      -5.209163793
          0,           0,          39,      -5.998520934,      -5.588176716,      -6.212703305,      -5.255408608
          0,           0,          40,      -6.016185661,       -5.64555328,      -6.267146639,      -5.276062755
          0,           0,          41,      -6.019263464,      -5.701313985,      -6.301479896,      -5.276360698
          0,           0,          42,      -6.009911812,      -5.755771871,      -6.321362909,      -5.264366103
          0,           0,          43,      -6.016486023,      -5.806818959,      -6.351993422,       -5.28100232
          0,           0,          44,      -6.012754263,       -5.85614165,      -6.378344081,      -5.278156308
          0,           0,          45,      -6.008447427,      -5.901419906,      -6.390221307,      -5.268604895
          0,           0,          46,      -6.004074953,      -5.940768888,      -6.395992435,      -5.259815708
          0,           0,          47,      -6.021588138,      -5.979422499,      -6.423165343,      -5.286664062
          0,           0,          48,      -6.035181707,       -6.01722547,      -6.454320928,      -5.300999598
          0,           0,          49,      -6.055272698,      -6.050902091,      -6.469595641,       -5.31496946
          0,           0,          50,      -6.079507265,      -6.082802412,      -6.478524171,      -5.333876472
          0,           0,          51,      -6.108088425,      -6.120648229,      -6.507287371,        -5.3731585
          0,           0,          52,      -6.124433262,      -6.157050371,      -6.534260249,      -5.391215641
          0,           0,          53,      -6.148700368,      -6.185546973,      -6.538095529,      -5.409218098
          0,           0,          54,      -6.159167317,      -6.211253031,      -6.542477306,      -5.415168656
          0,           0,          55,      -6.182188379,      -6.247009566,      -6.578371793,      -5.450088921
          0,           0,          56,      -6.195548072,        -6.2725875,      -6.615639675,      -5.464058946
          0,           0,          57,      -6.211009992,      -6.293717603,      -6.637027591,      -5.472954408
          0,           0,          58,       -6.22866553,      -6.310362529,      -6.653117261,      -5.485019645
          0,           0,          59,        -6.2650113,      -6.344211004,      -6.692972907,      -5.531669186
          0,           0,          60,      -6.297358304,      -6.371527914,       -6.73906686,      -5.564436322
          0,           0,          61,       -6.33323015,      -6.397733393,      -6.773750917,      -5.594142832
          0,           0,          62,      -6.369742444,      -6.422836824,       -6.80194105,      -5.625255745
          0,           0,          63,      -6.415474889,      -6.461453207,      -6.841004377,       -5.68048277
          0,           0,          64,      -6.453459395,      -6.494299885,       -6.88672942,       -5.71960671
          0,           0,          65,      -6.486365944,      -6.520716845,      -6.915537892,      -5.747002218
          0,           0,          66,      -6.509088734,      -6.541487039,      -6.924143968,      -5.764727548
          0,           0,          67,       -6.53773422,      -6.575765571,      -6.950284879,      -5.804441342
          0,           0,          68,      -6.552678031,      -6.599176157,      -6.972615546,      -5.820088729
          0,           0,          69,       -6.55772359,       -6.61420875,      -6.969065668,       -5.81933532
          0,           0,          70,      -6.554601045,      -6.621677932,      -6.956329511,      -5.811445709
          0,           0,          71,      -6.569466484,      -6.649859582,      -6.979901188,      -5.838840624
          0,           0,          72,      -6.575085586,      -6.665133511,      -6.998524005,      -5.844244845
          0,           0,          73,      -6.580012952,      -6.674858472,      -6.998454197,      -5.842190606
          0,           0,          74,      -6.581545244,      -6.678601342,      -6.988927975,      -5.838230992
          0,           0,          75,      -6.600120476,      -6.704635599,      -7.013235546,      -5.869129882
          0,           0,          76,      -6.611132369,      -6.719513293,       -7.04035727,      -5.880549867
          0,           0,          77,      -6.622165701,      -6.728420819,      -7.047660107,      -5.884349006
          0,           0,          78,      -6.629748419,      -6.733140815,       -7.04401143,      -5.886182568
          0,           0,          79,       -6.65407633,      -6.761643172,      -7.073877908,      -5.922473493
          0,           0,          80,      -6.669761894,      -6.777582209,       -7.10256962,      -5.938497791
          0,           0,          81,      -6.683160236,      -6.787759365,      -7.109786192,      -5.945045788
          0,           0,          82,      -6.694006813,      -6.794230279,      -7.111869757,      -5.950415895
          0,           0,          83,      -6.721526657,      -6.823929319,      -7.144026959,      -5.989454318
          0,           0,          84,      -6.741266989,      -6.841370017,      -7.174577202,      -6.009456531
          0,           0,          85,      -6.760337283,       -6.85478214,       -7.18842205,      -6.021967053
          0,           0,          86,      -6.776316135,       -6.86471479,      -7.193059575,      -6.032405599
          0,           0,          87,      -6.805446919,      -6.895529586,      -7.223426483,      -6.072821297
          0,           0,          88,      -6.827006994,      -6.915919823,      -7.257271236,      -6.095070763
          0,           0,          89,      -6.847064783,      -6.930746049,      -7.272822839,      -6.108544582
          0,           0,          90,      -6.862613538,      -6.941596494,      -7.276674959,      -6.118606937
          0,           0,          91,      -6.891964491,      -6.973599426,      -7.308711609,      -6.159427321
          0,           0,          92,       -6.91235269,      -6.993795171,      -7.339858883,      -6.180282408
          0,           0,          93,      -6.929057094,      -7.008220807,      -7.349811519,      -6.190504336
          0,           0,          94,      -6.941526638,      -7.018531703,      -7.353065543,      -6.197718752
          0,           0,          95,      -6.969138654,      -7.049964283,      -7.385233549,      -6.236827643
          0,           0,          96,      -6.988065773,      -7.069332289,      -7.415145915,      -6.256088067
          0,           0,          97,      -7.005362335,      -7.084129832,      -7.427343172,      -6.266930312
          0,           0,          98,      -7.018697694,       -7.09479882,      -7.429542466,      -6.274798109
