"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.204747266,      -4.214429284,      -4.080054083,      -3.484071867
          0,           0,           1,       -4.42180225,      -4.297919159,      -4.296310578,      -3.692489439
          0,           0,           2,      -4.425434151,       -4.30035824,      -4.330814124,      -3.700307342
          0,           0,           3,      -4.454581058,      -4.331392816,      -4.411924394,      -3.731849773
          0,           0,           4,      -4.504652042,      -4.365148803,      -4.506770561,      -3.779379388
          0,           0,           5,      -4.565084285,      -4.403409239,      -4.582303493,      -3.838509215
          0,           0,           6,      -4.640464894,      -4.454682497,      -4.674925306,      -3.911372265
          0,           0,           7,       -4.70501465,       -4.49031531,      -4.762086272,        -3.9764898
          0,           0,           8,      -4.765612307,      -4.519511562,      -4.846787233,      -4.031889003
          0,           0,           9,      -4.826300153,      -4.550730804,      -4.924521633,      -4.092245687
          0,           0,          10,      -4.877604218,      -4.576243418,       -4.99397809,      -4.139018859
          0,           0,          11,      -4.926064851,       -4.60162702,      -5.062339768,      -4.188539838
          0,           0,          12,      -4.972286112,      -4.626325226,      -5.132540082,      -4.230129432
          0,           0,          13,      -5.012350892,      -4.650367075,       -5.18968545,      -4.271639281
          0,           0,          14,      -5.045213179,      -4.672340736,      -5.235642988,      -4.301317309
          0,           0,          15,      -5.079210755,      -4.700495533,      -5.278534141,      -4.339531928
          0,           0,          16,       -5.10769514,      -4.725113239,      -5.308583282,      -4.365465713
          0,           0,          17,      -5.135627447,      -4.749803303,      -5.337262731,      -4.397375742
          0,           0,          18,      -5.163741101,      -4.779648072,      -5.365054312,      -4.422450908
          0,           0,          19,      -5.185955086,       -4.80775832,      -5.395278956,      -4.449699417
          0,           0,          20,      -5.198003322,      -4.834950756,      -5.417120322,      -4.460072149
          0,           0,          21,      -5.215759404,      -4.865854441,      -5.452830903,      -4.483992297
          0,           0,          22,      -5.229195683,      -4.892694745,      -5.476736567,       -4.49606019
          0,           0,          23,      -5.256467624,      -4.919781735,      -5.510555657,      -4.527784453
          0,           0,          24,       -5.28945251,      -4.947735036,      -5.532964925,      -4.556586125
