"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          76,      -6.527103628,      -6.639151032,      -6.933800874,      -5.798424989
          0,           0,          77,      -6.553503142,      -6.658683354,      -6.944645768,      -5.818388686
          0,           0,          78,       -6.57840713,      -6.677523279,      -6.956079299,      -5.837217822
          0,           0,          79,      -6.616875142,       -6.71701384,      -7.014644046,      -5.885547395
          0,           0,          80,      -6.645169197,      -6.744495579,      -7.045403544,      -5.915602989
          0,           0,          81,      -6.671095463,      -6.766226628,      -7.056837521,      -5.935716349
          0,           0,          82,      -6.692982917,      -6.783907026,      -7.064615367,      -5.952082971
          0,           0,          83,      -6.726838027,      -6.821772104,      -7.120523304,      -5.995921121
          0,           0,          84,      -6.747954153,      -6.849223515,      -7.150956279,      -6.018535834
          0,           0,          85,      -6.765448291,      -6.865897848,         -7.161003,      -6.030367106
          0,           0,          86,      -6.777073418,      -6.877947153,      -7.167887196,      -6.036814967
          0,           0,          87,      -6.804074512,      -6.913042662,      -7.221215653,      -6.073693472
          0,           0,          88,      -6.822723516,      -6.935226633,      -7.246203442,      -6.093339441
          0,           0,          89,      -6.839485454,      -6.950153638,      -7.250202182,       -6.10409111
          0,           0,          90,      -6.855724462,      -6.963834531,      -7.257350421,      -6.114746403
          0,           0,          91,      -6.885765697,      -6.996316203,      -7.301043033,      -6.153537382
          0,           0,          92,       -6.90978659,      -7.018755007,      -7.324418528,      -6.178503093
          0,           0,          93,      -6.933855433,      -7.037436471,      -7.338891285,      -6.197096424
          0,           0,          94,      -6.957732349,      -7.054709672,      -7.353128856,      -6.215921743
          0,           0,          95,       -6.99269875,      -7.087235246,      -7.392173474,      -6.258481746
          0,           0,          96,      -7.023322579,      -7.114347781,      -7.420623541,      -6.289926914
          0,           0,          97,      -7.052520094,      -7.137298138,      -7.439837342,       -6.31450279
          0,           0,          98,      -7.079533126,      -7.158665105,      -7.456356412,      -6.336929497
          0,           0,          99,      -7.115344666,      -7.193010329,      -7.493759483,      -6.379816195
          0,           0,         100,      -7.145855603,        -7.2219328,      -7.521560332,      -6.411553529
          0,           0,         101,      -7.172352638,      -7.246309605,      -7.539630973,      -6.433966371
          0,           0,         102,       -7.19562711,      -7.268916265,      -7.555949676,      -6.452896208
          0,           0,         103,      -7.227183938,      -7.302854606,      -7.591611447,      -6.492125996
          0,           0,         104,      -7.252247798,      -7.330333175,       -7.61618165,      -6.518509797
          0,           0,         105,      -7.274445696,      -7.354066715,      -7.634512504,      -6.536416386
          0,           0,         106,       -7.29369375,      -7.374496765,      -7.650194132,      -6.551478844
          0,           0,         107,      -7.323175031,      -7.407620691,      -7.687274843,      -6.588929267
          0,           0,         108,      -7.348100919,      -7.434859043,      -7.715456142,      -6.614822118
          0,           0,         109,      -7.371553902,      -7.457509207,      -7.735010196,      -6.633708791
          0,           0,         110,      -7.393468432,      -7.478037803,      -7.753251264,      -6.651129594
          0,           0,         111,      -7.426537231,      -7.512469169,      -7.793092829,      -6.691657529
          0,           0,         112,        -7.4553833,      -7.540478901,      -7.823589402,      -6.721614716
          0,           0,         113,      -7.482941611,      -7.564643266,      -7.846803686,      -6.744640443
          0,           0,         114,      -7.510120732,      -7.588315644,      -7.870267368,      -6.767114316
          0,           0,         115,      -7.546219513,      -7.622902784,      -7.908376449,      -6.810300712
          0,           0,         116,      -7.577639493,      -7.652609866,      -7.939276963,      -6.842930989
          0,           0,         117,      -7.607661172,      -7.679643564,      -7.966330038,       -6.86872545
          0,           0,         118,       -7.63621818,      -7.704818443,      -7.990922873,      -6.893001251
          0,           0,         119,      -7.672594731,      -7.739635142,      -8.028502073,      -6.936277833
          0,           0,         120,      -7.705145482,      -7.771140787,      -8.061918489,      -6.969901283
          0,           0,         121,      -7.735616908,      -7.798920839,      -8.089141468,      -6.996469938
          0,           0,         122,      -7.764176905,      -7.824819079,      -8.114388909,      -7.020876173
          0,           0,         123,      -7.801489052,      -7.861126396,      -8.154763167,      -7.064916095
          0,           0,         124,       -7.83519915,      -7.892939317,       -8.18901009,      -7.099772028
          0,           0,         125,       -7.86720224,      -7.921626323,      -8.218201563,      -7.127790039
          0,           0,         126,       -7.89880053,      -7.949897194,      -8.247887188,      -7.155032513
          0,           0,         127,      -7.938378887,      -7.986617724,      -8.288095079,      -7.201170824
          0,           0,         128,      -7.974517151,       -8.01988259,      -8.323753006,      -7.238430949
          0,           0,         129,      -8.010066185,        -8.0514315,      -8.357686066,       -7.26998799
          0,           0,         130,      -8.045273495,      -8.081965733,       -8.39043977,      -7.301043139
          0,           0,         131,      -8.087274633,      -8.119492745,      -8.430423418,       -7.34913709
          0,           0,         132,      -8.126916255,      -8.155540431,      -8.469735112,      -7.389761621
          0,           0,         133,      -8.165585443,        -8.1892203,      -8.506104078,      -7.424851269
          0,           0,         134,       -8.20373192,      -8.222145701,      -8.541550146,      -7.458975444
          0,           0,         135,      -8.248242684,      -8.261647051,      -8.583273955,      -7.509064944
          0,           0,         136,      -8.290692319,       -8.29923014,      -8.623963376,      -7.552583203
          0,           0,         137,      -8.331981415,      -8.335030991,       -8.66335752,      -7.590523367
          0,           0,         138,      -8.373565549,      -8.371033255,      -8.703385575,      -7.628097795
          0,           0,         139,      -8.420609676,      -8.411503384,      -8.745539373,       -7.68043032
          0,           0,         140,      -8.466221128,      -8.450979807,      -8.788686465,      -7.727008076
          0,           0,         141,      -8.511436126,      -8.489414814,      -8.832497859,      -7.769004057
          0,           0,         142,      -8.557525313,      -8.527997957,      -8.876791117,      -7.811260422
          0,           0,         143,      -8.605869536,      -8.568321879,      -8.922659374,       -7.85726919
          0,           0,         144,      -8.656717205,      -8.609910349,      -8.970549662,      -7.905956379
          0,           0,         145,       -8.71264676,      -8.654852293,      -9.018598037,      -7.965020468
