"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.818696855,      -3.818106354,      -3.699947028,      -3.098021456
          0,           0,           1,      -3.961759669,      -3.814491719,      -3.839076639,      -3.234056952
          0,           0,           2,      -3.955166499,      -3.824990531,      -3.843382465,       -3.23190196
          0,           0,           3,      -3.993097352,      -3.848558789,      -3.903528981,       -3.26923631
          0,           0,           4,      -4.041410037,      -3.881367003,       -3.98633256,      -3.323243282
          0,           0,           5,      -4.091847368,      -3.902743891,      -4.070214967,      -3.371885007
          0,           0,           6,      -4.145124568,      -3.917713764,       -4.14302088,      -3.417829073
          0,           0,           7,      -4.192660189,      -3.946540152,      -4.229685794,      -3.470172321
          0,           0,           8,      -4.241231121,      -3.977021936,      -4.327872175,      -3.515085156
          0,           0,           9,      -4.283104184,       -3.99766347,      -4.403721703,      -3.546770748
          0,           0,          10,      -4.320074531,      -4.023176643,      -4.474446876,      -3.590876777
          0,           0,          11,      -4.357689824,      -4.049838679,      -4.538559742,      -3.625944418
          0,           0,          12,      -4.412540889,      -4.076666779,      -4.591696947,      -3.672034142
          0,           0,          13,      -4.471382063,      -4.105942802,      -4.637392479,      -3.726163393
          0,           0,          14,       -4.52239889,      -4.144237246,      -4.685392404,       -3.78695667
          0,           0,          15,      -4.562719802,      -4.180163121,      -4.731414523,      -3.829158296
          0,           0,          16,      -4.613633109,      -4.216737123,      -4.777580781,      -3.873563645
          0,           0,          17,      -4.673325522,      -4.252641388,      -4.826709401,      -3.927759149
          0,           0,          18,      -4.740210021,      -4.293294164,      -4.874922341,      -3.999890303
          0,           0,          19,      -4.804747158,      -4.332710608,       -4.92041934,      -4.064511394
          0,           0,          20,      -4.868490094,      -4.371438887,      -4.959172334,      -4.122568839
          0,           0,          21,      -4.925026327,      -4.412109809,      -5.001431229,       -4.17383559
