"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.200548463,      -4.222884082,      -4.113591916,      -3.556479329
          0,           0,           1,      -4.363989236,      -4.261062116,      -4.272518049,      -3.710747106
          0,           0,           2,      -4.321310094,      -4.245832284,      -4.282173171,      -3.674100332
          0,           0,           3,      -4.320263009,      -4.258644724,      -4.349348976,      -3.676733855
          0,           0,           4,      -4.336831207,      -4.272537121,      -4.435189493,      -3.691730722
          0,           0,           5,      -4.366908387,       -4.29657267,      -4.519872431,      -3.725728088
          0,           0,           6,      -4.396473981,      -4.300343623,      -4.589830825,      -3.749536943
          0,           0,           7,      -4.419723438,      -4.303103999,      -4.651271212,      -3.776610647
          0,           0,           8,      -4.441766501,      -4.303443319,      -4.706476856,       -3.79097062
          0,           0,           9,      -4.458470875,      -4.304776168,      -4.748081507,      -3.799237379
          0,           0,          10,      -4.504333609,      -4.327989845,      -4.794345449,      -3.851718747
          0,           0,          11,      -4.556300004,      -4.347190516,       -4.85528872,      -3.903043104
          0,           0,          12,      -4.615327619,      -4.355877394,      -4.904225395,      -3.953774598
          0,           0,          13,      -4.666289452,      -4.383384216,      -4.938489799,      -4.013375331
          0,           0,          14,      -4.696739717,      -4.405520855,      -4.980412412,       -4.04560892
          0,           0,          15,      -4.727549099,      -4.422134331,      -5.017929189,      -4.070067245
          0,           0,          16,      -4.750803798,      -4.450548973,       -5.05653584,      -4.104649155
          0,           0,          17,      -4.764970762,      -4.474357421,      -5.092458586,      -4.117703544
          0,           0,          18,      -4.770416716,      -4.493296288,      -5.100991816,      -4.115855283
          0,           0,          19,      -4.766516596,      -4.523633548,      -5.120280442,      -4.127825058
          0,           0,          20,      -4.785324886,      -4.549216408,      -5.133613876,      -4.141187583
          0,           0,          21,       -4.77974944,      -4.577651885,      -5.137668443,      -4.127595916
          0,           0,          22,      -4.789127538,      -4.606585361,      -5.158308493,      -4.149107022
          0,           0,          23,      -4.795309948,      -4.634926187,      -5.194655123,      -4.152180535
          0,           0,          24,      -4.843859813,      -4.661006442,      -5.227941874,      -4.190039235
          0,           0,          25,      -4.894461179,      -4.671994543,       -5.21907007,       -4.24365159
          0,           0,          26,      -4.717806116,       -4.56302827,      -5.068696258,      -4.049008301
          0,           0,          27,      -4.668026466,      -4.520343095,      -5.001155265,      -3.989238472
          0,           0,          28,      -4.447682863,      -4.495058082,      -4.980023535,      -3.796852009
          0,           0,          29,      -4.434854852,      -4.462507491,      -4.983551837,      -3.768093826
          0,           0,          30,      -4.505436378,      -4.577694705,      -5.017331884,      -3.826453264
          0,           0,          31,       -4.57626105,      -4.606109464,      -5.032903347,      -3.903702937
          0,           0,          32,      -4.597979829,      -4.658395792,      -5.098565642,      -3.931213105
          0,           0,          33,      -4.756931425,      -4.731768938,      -5.150796273,      -4.074855205
          0,           0,          34,      -4.883822068,       -4.78566108,      -5.150441197,      -4.221615793
          0,           0,          35,      -4.932249453,      -4.840146928,      -5.128377745,      -4.283222353
          0,           0,          36,      -4.896603136,      -4.898296784,      -5.097842762,      -4.247312418
          0,           0,          37,      -4.855759613,      -4.923964901,      -5.072221868,      -4.226085136
          0,           0,          38,      -4.801756607,       -4.93565101,      -5.055189626,      -4.162895757
          0,           0,          39,      -4.760589451,      -4.953798855,       -5.06094105,      -4.110677312
          0,           0,          40,      -4.755634822,      -4.952893282,      -5.077875866,      -4.120050105
          0,           0,          41,      -4.769067672,      -4.936474111,      -5.094551471,       -4.13002106
          0,           0,          42,      -4.806127198,       -4.83593707,       -5.08747537,      -4.151629005
          0,           0,          43,      -4.427607263,      -4.568858161,      -4.941773375,      -3.763635228
          0,           0,          44,      -4.463898325,      -4.462870519,      -4.843767714,      -3.793077515
          0,           0,          45,      -4.331793911,       -4.51965609,      -4.863406159,      -3.674942993
          0,           0,          46,      -4.377789875,      -4.531798466,      -4.836162842,      -3.704316342
          0,           0,          47,      -4.363420468,      -4.524921215,      -4.890166795,      -3.689651638
          0,           0,          48,       -4.52487391,      -4.608551448,      -4.943323316,      -3.837672181
          0,           0,          49,       -4.60646916,      -4.660551509,      -4.984213556,      -3.926894364
          0,           0,          50,      -4.670472229,      -4.711561696,      -5.048895514,      -4.006314021
          0,           0,          51,      -4.767710544,      -4.790776865,      -5.126143627,      -4.102693372
          0,           0,          52,      -4.849761354,      -4.847853797,      -5.211796116,      -4.183675714
          0,           0,          53,      -4.922373613,      -4.890307552,      -5.246659714,      -4.266840144
          0,           0,          54,      -4.879444243,      -4.797033874,      -5.189816425,      -4.211778977
