"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.189502276,      -4.198907288,      -4.063918665,      -3.468826877
          0,           0,           1,      -4.361592219,      -4.212614083,       -4.23933234,      -3.629378634
          0,           0,           2,      -4.349366265,      -4.208559049,      -4.258950406,      -3.621834074
          0,           0,           3,      -4.376089772,      -4.232984627,      -4.336836099,      -3.652258047
          0,           0,           4,      -4.415882109,      -4.262752615,        -4.4278999,      -3.690400968
          0,           0,           5,      -4.467115041,      -4.300454399,      -4.507740714,      -3.742536049
          0,           0,           6,      -4.516213431,      -4.329711556,      -4.587449216,      -3.788264427
          0,           0,           7,      -4.564761356,      -4.357461995,      -4.666526267,      -3.838299128
          0,           0,           8,      -4.609856188,      -4.382386374,      -4.742981853,      -3.879008248
          0,           0,           9,      -4.651625939,      -4.409798434,      -4.811517116,      -3.923293673
          0,           0,          10,      -4.688161783,      -4.431072245,      -4.871711282,      -3.954935257
          0,           0,          11,      -4.722416914,      -4.453249419,        -4.9294574,      -3.992735652
          0,           0,          12,      -4.748583424,      -4.470260818,      -4.974137273,      -4.013572071
          0,           0,          13,      -4.768267965,      -4.491768857,      -5.003680542,      -4.037725884
          0,           0,          14,      -4.778017918,       -4.51013199,      -5.025213397,      -4.045787072
          0,           0,          15,      -4.778088296,      -4.529196667,       -5.03143046,      -4.053586631
          0,           0,          16,      -4.753115306,      -4.548737964,        -5.0321913,      -4.028250255
          0,           0,          17,      -4.742300726,      -4.568666649,      -5.038178805,       -4.02637142
          0,           0,          18,      -4.751588927,      -4.591786958,      -5.043791218,      -4.032253325
          0,           0,          19,      -4.775393719,      -4.611800425,      -5.045357991,      -4.062089764
          0,           0,          20,       -4.78130822,      -4.634561235,      -5.050149052,      -4.061503883
          0,           0,          21,      -4.786854007,      -4.663053729,      -5.077343659,      -4.073737377
          0,           0,          22,      -4.796782513,      -4.689348363,      -5.105191767,      -4.079065272
          0,           0,          23,      -4.832824887,      -4.714514034,      -5.143596967,      -4.119906444
          0,           0,          24,      -4.871212736,      -4.743352502,      -5.163305034,      -4.150337718
          0,           0,          25,      -4.908970346,      -4.771561251,      -5.182272198,      -4.182135336
          0,           0,          26,      -4.940829313,      -4.800751556,      -5.217148706,      -4.221865073
          0,           0,          27,      -4.970443859,      -4.831634393,      -5.253480265,      -4.248150651
          0,           0,          28,       -5.01003907,      -4.860607054,      -5.295342646,      -4.291998294
          0,           0,          29,      -5.048838922,      -4.887715296,      -5.316928789,      -4.326311948
          0,           0,          30,      -5.105568247,      -4.919719542,      -5.369858104,      -4.384920135
          0,           0,          31,      -5.162610828,      -4.948841509,      -5.391294537,      -4.437685922
          0,           0,          32,      -5.232361762,      -4.980519413,      -5.460773393,      -4.508970777
          0,           0,          33,      -5.298527006,      -5.011865049,      -5.502298794,      -4.571486965
          0,           0,          34,      -5.370217247,       -5.04601006,      -5.555486266,      -4.644364712
          0,           0,          35,      -5.436527891,      -5.078272806,      -5.588052168,      -4.708334422
          0,           0,          36,      -5.489749813,      -5.109925199,      -5.621398722,      -4.764970421
          0,           0,          37,      -5.515938267,      -5.141974568,       -5.63481877,      -4.790414136
          0,           0,          38,      -5.510148143,      -5.170044249,      -5.663317237,       -4.79056728
          0,           0,          39,      -5.469708175,      -5.194618817,       -5.66897996,      -4.746501527
          0,           0,          40,      -5.425429216,      -5.210476248,      -5.674593694,      -4.705273509
          0,           0,          41,      -5.366190902,      -5.218639622,      -5.667022301,      -4.640307854
          0,           0,          42,      -5.326481948,      -5.225264747,      -5.657213678,      -4.603174731
          0,           0,          43,      -5.266808068,      -5.225247177,      -5.623051255,      -4.537369808
          0,           0,          44,       -5.21870945,      -5.230234404,      -5.606946894,      -4.494305528
          0,           0,          45,       -5.14944205,      -5.223137252,       -5.57775427,           -4.4196
          0,           0,          46,      -5.086016924,      -5.204245053,      -5.545982207,      -4.361308327
          0,           0,          47,       -5.03208789,      -5.128062135,      -5.500175907,      -4.301910801
          0,           0,          48,      -5.026461485,       -5.06131917,      -5.441279274,       -4.29783882
          0,           0,          49,      -5.003139584,       -5.01593656,      -5.408485519,      -4.267978067
          0,           0,          50,      -4.987469451,      -5.038824331,       -5.42392696,      -4.258922186
          0,           0,          51,      -4.930043941,      -5.055308234,      -5.425546237,      -4.198149965
          0,           0,          52,      -4.886596546,      -5.018447734,      -5.419519656,      -4.157371713
          0,           0,          53,       -4.87041858,      -4.910764063,      -5.394125427,      -4.132554939
          0,           0,          54,      -4.858163952,      -4.902211154,      -5.367023861,      -4.114522165
          0,           0,          55,      -4.763705346,       -4.92385289,       -5.32750265,      -4.021476263
          0,           0,          56,      -4.769571375,      -4.901455494,      -5.309647776,      -4.029723823
          0,           0,          57,      -4.807998234,       -4.85323808,      -5.249066678,      -4.058690465
          0,           0,          58,      -4.824120914,      -4.891003398,       -5.25837489,      -4.070643778
          0,           0,          59,      -4.844616345,      -4.968973992,      -5.325415857,       -4.10489745
          0,           0,          60,      -4.866933519,      -4.918399031,      -5.370148218,      -4.124301775
          0,           0,          61,      -4.894685287,       -4.92025754,      -5.413362986,      -4.146371912
          0,           0,          62,      -4.921751259,      -4.980166352,      -5.457335984,      -4.180676311
          0,           0,          63,      -4.949846953,       -4.99430287,      -5.493702461,       -4.20788481
          0,           0,          64,      -5.000550192,      -4.981758066,      -5.501373424,       -4.24892597
          0,           0,          65,      -5.079267224,      -5.031523067,      -5.534248239,      -4.333742057
          0,           0,          66,      -5.159379565,      -5.100331904,      -5.595580756,      -4.414328157
          0,           0,          67,      -5.252363698,      -5.161023288,      -5.652125606,       -4.50273099
