"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.699492511,      -3.699807155,      -3.581467162,      -2.978817111
          0,           0,           1,      -3.955157584,      -3.852973499,      -3.821643466,      -3.229952542
          0,           0,           2,       -3.95543563,      -3.913078772,      -3.852329266,      -3.235753771
          0,           0,           3,      -4.009124263,      -3.972339579,       -3.93074926,      -3.286773861
          0,           0,           4,      -4.062625458,      -4.034887182,      -4.012245563,      -3.347728024
          0,           0,           5,      -4.126330961,      -4.079682407,      -4.095083232,      -3.410520486
          0,           0,           6,      -4.214635314,      -4.139385609,      -4.191974245,      -3.491270566
          0,           0,           7,      -4.285689352,      -4.195638713,      -4.296214185,      -3.567507783
          0,           0,           8,      -4.358519795,      -4.248850176,      -4.401411759,      -3.636636612
          0,           0,           9,      -4.429777699,      -4.296158363,       -4.49442743,      -3.699652028
          0,           0,          10,       -4.47884225,      -4.337846692,       -4.57517344,      -3.756926068
          0,           0,          11,      -4.529743749,      -4.380537422,      -4.647666777,      -3.805663661
          0,           0,          12,      -4.591510993,      -4.426109512,      -4.716747095,       -3.85859235
          0,           0,          13,      -4.645016522,      -4.473600595,      -4.788031765,      -3.920438543
          0,           0,          14,       -4.69944661,      -4.519739203,      -4.859213385,      -3.971598916
          0,           0,          15,      -4.768193083,      -4.565956406,      -4.927132304,      -4.030394551
          0,           0,          16,      -4.832734262,      -4.611352815,      -4.992941631,      -4.092003754
          0,           0,          17,      -4.892956953,      -4.652753636,      -5.054608641,      -4.149731893
          0,           0,          18,      -4.949589007,       -4.69789277,      -5.108998657,      -4.216610059
          0,           0,          19,      -5.004039382,      -4.742136991,      -5.167092778,      -4.271644789
          0,           0,          20,      -5.072783338,      -4.787509047,      -5.229190944,      -4.330987707
          0,           0,          21,      -5.141708873,      -4.833190405,      -5.293350395,      -4.391663789
          0,           0,          22,      -5.197497595,      -4.880534737,      -5.351517355,      -4.456801641
          0,           0,          23,      -5.239585254,      -4.928144855,      -5.414092164,      -4.502941162
          0,           0,          24,      -5.282038994,      -4.975423538,      -5.474089508,      -4.540343516
          0,           0,          25,       -5.32383237,      -5.022745923,      -5.534023317,      -4.576413303
